EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-H4_LAL.csv,0,0,1.07571921477,4.56836175707e+14,13.6335689388,4013.28050781,1.2866724721,1.14930313263,1.74550665038,7.95566020641e+14,13.3894026572,183.867870121,2.34798687147,1.96113862043,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07603848413,4.56926541218e+14,13.6337682455,4006.71502888,1.2871915341,1.14966972539,1.74493715223,7.9501659636e+14,13.3906144463,184.395321061,2.34731393888,1.96040714929,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07635766905,4.57016882831e+14,13.6339674995,4000.15128625,1.28771045882,1.1500362212,1.74436822626,7.9447569356e+14,13.3918074408,184.932451432,2.34663242058,1.95967716871,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07667676962,4.57107200569e+14,13.6341667008,3993.58927824,1.28822924641,1.15040262015,1.74379987153,7.93935333865e+14,13.3929992374,185.469042487,2.34595158657,1.95894792109,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07699578592,4.57197494456e+14,13.6343658495,3987.02900315,1.288747897,1.15076892234,1.74323208711,7.93395516389e+14,13.3941898381,186.005095104,2.34527143573,1.95821940522,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07731471804,4.57287764514e+14,13.6345649457,3980.4704593,1.28926641071,1.15113512787,1.74266487207,7.92856240247e+14,13.3953792449,186.540610163,2.34459196696,1.95749161991,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07763356604,4.57378010767e+14,13.6347639894,3973.913645,1.28978478769,1.15150123682,1.74209822548,7.92317504557e+14,13.3965674597,187.075588539,2.34391317914,1.95676456398,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07795233003,4.57468233239e+14,13.6349629806,3967.35855856,1.29030302807,1.1518672493,1.74153214642,7.91779308438e+14,13.3977544844,187.610031106,2.34323507116,1.95603823623,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07827101007,4.57558431951e+14,13.6351619194,3960.80519831,1.29082113197,1.15223316539,1.74096663395,7.91241651013e+14,13.398940321,188.143938738,2.34255764191,1.95531263548,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07858960625,4.57648606928e+14,13.6353608059,3954.25356257,1.29133909953,1.1525989852,1.74040168717,7.90704531404e+14,13.4001249714,188.677312304,2.34188089029,1.95458776054,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07890811866,4.57738758193e+14,13.6355596401,3947.70364966,1.29185693089,1.1529647088,1.73983730515,7.90167948736e+14,13.4013084375,189.210152673,2.3412048152,1.95386361024,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07922654736,4.57828885767e+14,13.635758422,3941.15545791,1.29237462618,1.1533303363,1.73927348697,7.89631902139e+14,13.4024907213,189.742460711,2.34052941554,1.9531401834,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07954489246,4.57918989676e+14,13.6359571517,3934.60898566,1.29289218552,1.1536958678,1.73871023172,7.8909639074e+14,13.4036718247,190.274237283,2.33985469021,1.95241747884,2.031383144492259
./macro-H4_LAL.csv,0,0,1.07986315401,4.5800906994e+14,13.6361558293,3928.06423122,1.29340960906,1.15406130337,1.73814753847,7.88561413672e+14,13.4048517496,190.805483251,2.33918063812,1.95169549539,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08018133211,4.58099126584e+14,13.6363544548,3921.52119295,1.29392689691,1.15442664312,1.73758540634,7.88026970067e+14,13.406030498,191.336199476,2.33850725817,1.95097423188,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08049942684,4.58189159629e+14,13.6365530282,3914.97986918,1.29444404922,1.15479188714,1.73702383439,7.87493059061e+14,13.4072080716,191.866386817,2.33783454928,1.95025368714,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08081743827,4.582791691e+14,13.6367515496,3908.44025824,1.29496106611,1.15515703552,1.73646282173,7.86959679791e+14,13.4083844725,192.396046131,2.33716251036,1.94953386002,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08113536649,4.58369155019e+14,13.6369500191,3901.9023585,1.29547794772,1.15552208836,1.73590236744,7.86426831396e+14,13.4095597024,192.925178271,2.33649114032,1.94881474934,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08145321159,4.58459117407e+14,13.6371484367,3895.36616828,1.29599469417,1.15588704574,1.73534247063,7.85902972842e+14,13.4103740274,193.466259713,2.3358111548,1.94809718477,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08177097362,4.58549056289e+14,13.6373468025,3888.83168594,1.2965113056,1.15625190775,1.7347831304,7.85385342138e+14,13.4109448606,194.015219486,2.33512558263,1.94738089399,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08208865269,4.58638971687e+14,13.6375451164,3882.29890984,1.29702778214,1.1566166745,1.73422434584,7.84868225671e+14,13.4115151267,194.563633898,2.33444069153,1.9466653148,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08240624887,4.58728863624e+14,13.6377433786,3875.76783832,1.29754412391,1.15698134607,1.73366611605,7.84351622612e+14,13.4120848267,195.111503828,2.33375648041,1.94595044607,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08272376223,4.58818732121e+14,13.6379415891,3869.23846975,1.29806033105,1.15734592256,1.73310844015,7.83835532132e+14,13.4126539614,195.658830156,2.33307294817,1.94523628663,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08304119286,4.58908577202e+14,13.638139748,3862.71080249,1.29857640369,1.15771040405,1.73255131724,7.83319953405e+14,13.4132225317,196.205613759,2.33239009372,1.94452283535,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08335854084,4.5899839889e+14,13.6383378553,3856.18483489,1.29909234195,1.15807479063,1.73199474642,7.82804885604e+14,13.4137905386,196.751855511,2.33170791596,1.94381009108,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08367580625,4.59088197206e+14,13.638535911,3849.66056533,1.29960814596,1.1584390824,1.73143872681,7.82290327908e+14,13.4143579829,197.297556285,2.33102641381,1.94309805269,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08399298916,4.59177972173e+14,13.6387339152,3843.13799217,1.30012381586,1.15880327946,1.73088325752,7.81776279495e+14,13.4149248657,197.842716953,2.33034558617,1.94238671903,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08431008966,4.59267723814e+14,13.638931868,3836.61711378,1.30063935177,1.15916738188,1.73032833766,7.81262739545e+14,13.4154911877,198.387338383,2.32966543197,1.94167608899,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08462710782,4.59357452151e+14,13.6391297694,3830.09792854,1.30115475382,1.15953138976,1.72977396636,7.8074970724e+14,13.4160569499,198.931421443,2.32898595011,1.94096616141,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08494404373,4.59447157206e+14,13.6393276194,3823.58043482,1.30167002214,1.1598953032,1.72922014272,7.80237181765e+14,13.4166221531,199.474966997,2.32830713951,1.94025693518,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08526089746,4.59536839002e+14,13.6395254181,3817.06463101,1.30218515686,1.16025912227,1.72866686587,7.79725162306e+14,13.4171867984,200.01797591,2.32762899911,1.93954840917,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08557766909,4.59626497561e+14,13.6397231656,3810.55051547,1.30270015811,1.16062284708,1.72811413494,7.7921364805e+14,13.4177508865,200.560449043,2.32695152782,1.93884058226,2.031383144492259
./macro-H4_LAL.csv,0,0,1.0858943587,4.59716132905e+14,13.6399208619,3804.03808661,1.30321502601,1.16098647772,1.72756194903,7.78702638188e+14,13.4183144184,201.102387255,2.32627472457,1.93813345331,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08621096637,4.5980599329e+14,13.6400754273,3797.99233734,1.30373180605,1.16135076502,1.7270103073,7.78192131909e+14,13.4188773949,201.643791404,2.32559858828,1.93742702122,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08652749218,4.59896147964e+14,13.6401748481,3792.54293912,1.30425106876,1.16171591847,1.72645920885,7.77682128408e+14,13.419439817,202.184662345,2.3249231179,1.93672128487,2.031383144492259
./macro-H4_LAL.csv,0,0,1.0868439362,4.59986279343e+14,13.6402742433,3787.09494895,1.30477019731,1.16208097756,1.72590865282,7.77172626879e+14,13.4200016855,202.725000932,2.32424831235,1.93601624313,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08716029852,4.60076387451e+14,13.6403736127,3781.64836546,1.30528919181,1.1624459424,1.72535863834,7.76676939057e+14,13.421063741,203.284788153,2.32355872239,1.93531325415,2.031383144492259
./macro-H4_LAL.csv,0,0,1.0874765792,4.60166472308e+14,13.6404729566,3776.20318732,1.3058080524,1.16281081306,1.72480916455,7.7618252164e+14,13.4221542091,203.845200435,2.32286890156,1.93461103619,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08779277834,4.60256533937e+14,13.6405722748,3770.75941319,1.3063267792,1.16317558964,1.72426023059,7.75688589956e+14,13.4232436059,204.40506215,2.32217975844,1.93390950811,2.031383144492259
./macro-H4_LAL.csv,0,0,1.088108896,4.6034657236e+14,13.6406715675,3765.31704173,1.30684537235,1.16354027224,1.72371183558,7.75195143228e+14,13.4243319331,204.964374175,2.32149129194,1.93320866882,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08842493226,4.604365876e+14,13.6407708346,3759.87607161,1.30736383196,1.16390486093,1.72316397867,7.74702180683e+14,13.4254191924,205.52313739,2.32080350098,1.9325085172,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08874088721,4.60526579679e+14,13.6408700761,3754.43650149,1.30788215817,1.16426935581,1.722616659,7.74209701548e+14,13.4265053854,206.081352669,2.32011638448,1.93180905217,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08905676091,4.60616548617e+14,13.6409692921,3748.99833004,1.30840035111,1.16463375697,1.72206987571,7.73717705051e+14,13.4275905141,206.639020886,2.31942994137,1.93111027263,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08937255345,4.60706494438e+14,13.6410684827,3743.56155593,1.30891841089,1.1649980645,1.72152362796,7.73226190425e+14,13.4286745799,207.196142914,2.31874417057,1.93041217748,2.031383144492259
./macro-H4_LAL.csv,0,0,1.08968826491,4.60796417164e+14,13.6411676477,3738.12617784,1.30943633766,1.16536227848,1.72097791488,7.72735156902e+14,13.4297575846,207.752719621,2.31805907102,1.92971476564,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09000389535,4.60886316816e+14,13.6412667873,3732.69219444,1.30995413152,1.16572639901,1.72043273562,7.72244603715e+14,13.4308395299,208.308751876,2.31737464164,1.92901803602,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09031944487,4.60976193416e+14,13.6413659015,3727.2596044,1.31047179261,1.16609042617,1.71988808934,7.71754530101e+14,13.4319204174,208.864240545,2.31669088137,1.92832198754,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09063491352,4.61066046986e+14,13.6414649903,3721.82840641,1.31098932106,1.16645436005,1.71934397519,7.71264935297e+14,13.4330002489,209.419186491,2.31600778915,1.92762661911,2.031383144492259
./macro-H4_LAL.csv,0,0,1.0909503014,4.61155877547e+14,13.6415640537,3716.39859915,1.31150671699,1.16681820075,1.71880039233,7.70775818543e+14,13.4340790261,209.973590578,2.31532536391,1.92693192965,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09126560857,4.61245685123e+14,13.6416630918,3710.9701813,1.31202398052,1.16718194834,1.7182573399,7.7028717908e+14,13.4351567506,210.527453665,2.3146436046,1.92623791808,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09158083511,4.61335469734e+14,13.6417621045,3705.54315155,1.31254111179,1.16754560291,1.71771481707,7.6979901615e+14,13.436233424,211.080776612,2.31396251016,1.92554458332,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09189598111,4.61425231402e+14,13.641861092,3700.11750858,1.31305811091,1.16790916456,1.717172823,7.69311328998e+14,13.4373090481,211.633560274,2.31328207953,1.92485192432,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09221104663,4.61514970148e+14,13.6419600542,3694.69325109,1.31357497801,1.16827263338,1.71663135685,7.6882411687e+14,13.4383836245,212.185805506,2.31260231166,1.92415993998,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09252603175,4.61604685995e+14,13.6420589911,3689.27037776,1.31409171321,1.16863600944,1.71609041779,7.68337379012e+14,13.4394571548,212.737513161,2.31192320551,1.92346862925,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09284093654,4.61694378964e+14,13.6421579028,3683.84888729,1.31460831665,1.16899929284,1.71555000497,7.67857395574e+14,13.4402742939,213.299632608,2.31123808482,1.92277862344,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09315576109,4.61784049077e+14,13.6422567892,3678.42877839,1.31512478844,1.16936248366,1.71501011758,7.67385148843e+14,13.4407950786,213.873878274,2.31054590382,1.92209002046,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09347050547,4.61873696354e+14,13.6423556505,3673.01004973,1.31564112871,1.169725582,1.71447075476,7.66913360975e+14,13.4413153572,214.447565969,2.30985439538,1.92140208657,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09378516976,4.61963320819e+14,13.6424544867,3667.59270004,1.31615733758,1.17008858794,1.71393191571,7.66442031245e+14,13.4418351306,215.020696574,2.30916355844,1.92071482071,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09409975402,4.62052922491e+14,13.6425532977,3662.176728,1.31667341517,1.17045150156,1.71339359958,7.65971158929e+14,13.4423543995,215.59327097,2.30847339194,1.92002822182,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09441425834,4.62142501393e+14,13.6426520836,3656.76213232,1.31718936162,1.17081432295,1.71285580557,7.65500743306e+14,13.4428731649,216.165290034,2.30778389482,1.91934228885,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09472868278,4.62232057546e+14,13.6427508444,3651.34891171,1.31770517704,1.1711770522,1.71231853283,7.65030783654e+14,13.4433914273,216.736754643,2.30709506603,1.91865702076,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09504302744,4.62321590971e+14,13.6428495801,3645.93706488,1.31822086155,1.1715396894,1.71178178055,7.64561279256e+14,13.4439091878,217.30766567,2.30640690452,1.91797241649,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09535729237,4.62411101689e+14,13.6429482908,3640.52659054,1.31873641528,1.17190223463,1.71124554791,7.64092229393e+14,13.444426447,217.878023987,2.30571940922,1.917288475,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09567147765,4.62500589723e+14,13.6430469765,3635.1174874,1.31925183835,1.17226468798,1.7107098341,7.63623633351e+14,13.4449432057,218.447830465,2.3050325791,1.91660519525,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09598558337,4.62590055092e+14,13.6431456372,3629.70975417,1.31976713089,1.17262704954,1.71017463829,7.63155490416e+14,13.4454594648,219.017085971,2.30434641311,1.91592257618,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09629960959,4.62679497819e+14,13.6432442729,3624.30338957,1.32028229301,1.17298931938,1.70963995967,7.62687799873e+14,13.4459752249,219.585791373,2.30366091019,1.91524061678,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09661355638,4.62768917925e+14,13.6433428837,3618.89839233,1.32079732484,1.17335149761,1.70910579742,7.62220561014e+14,13.446490487,220.153947535,2.30297606932,1.91455931599,2.031383144492259
./macro-H4_LAL.csv,0,0,1.09692742383,4.62858315431e+14,13.6434414696,3613.49476116,1.32131222649,1.17371358429,1.70857215075,7.61753773127e+14,13.4470052517,220.72155532,2.30229188945,1.91387867278,2.031383144492259
