EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-MS1_LAL.csv,0,0,1.07571921477,3.77025347058e+14,14.8383851237,5862.84760763,1.4413224806,1.14176133118,1.74550665038,5.07482640897e+14,14.89002555,377.000415661,2.80528871933,1.93501262551,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07603848413,3.77092092297e+14,14.8384280249,5852.43859476,1.44190358098,1.14212163253,1.74493715223,5.07368120397e+14,14.89002555,377.707218863,2.80401417543,1.93430304928,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07635766905,3.77158819885e+14,14.8384709149,5842.03233465,1.44248452768,1.1424818386,1.74436822626,5.07253714956e+14,14.89002555,378.413311937,2.80274091206,1.93359418596,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07667676962,3.77225529839e+14,14.8385137935,5831.62882464,1.44306532085,1.14284194947,1.74379987153,5.07139424385e+14,14.89002555,379.118696043,2.80146892715,1.93288603439,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07699578592,3.77292222175e+14,14.8385566607,5821.22806203,1.44364596064,1.14320196525,1.74323208711,5.07025248499e+14,14.89002555,379.823372339,2.80019821859,1.93217859341,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07731471804,3.77358896912e+14,14.8385995167,5810.83004415,1.4442264472,1.14356188602,1.74266487207,5.06911187109e+14,14.89002555,380.527341978,2.79892878431,1.93147186186,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07763356604,3.77425554065e+14,14.8386423614,5800.43476832,1.44480678069,1.14392171187,1.74209822548,5.06797240029e+14,14.89002555,381.230606113,2.79766062224,1.93076583858,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07795233003,3.77492193654e+14,14.8386851947,5790.04223188,1.44538696124,1.1442814429,1.74153214642,5.06683407074e+14,14.89002555,381.933165893,2.79639373029,1.93006052242,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07827101007,3.77558815693e+14,14.8387280168,5779.65243216,1.44596698901,1.1446410792,1.74096663395,5.06569688056e+14,14.89002555,382.635022465,2.7951281064,1.92935591223,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07858960625,3.77625420201e+14,14.8387708277,5769.26536651,1.44654686415,1.14500062087,1.74040168717,5.06456082791e+14,14.89002555,383.336176972,2.79386374852,1.92865200686,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07890811866,3.77692007195e+14,14.8388136272,5758.88103225,1.4471265868,1.14536006799,1.73983730515,5.06342591093e+14,14.89002555,384.036630556,2.79260065457,1.92794880516,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07922654736,3.77758576691e+14,14.8388564155,5748.49942676,1.44770615711,1.14571942065,1.73927348697,5.06229212779e+14,14.89002555,384.736384357,2.79133882251,1.92724630598,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07954489246,3.77825128707e+14,14.8388991926,5738.12054737,1.44828557524,1.14607867895,1.73871023172,5.06115947664e+14,14.89002555,385.435439511,2.79007825028,1.9265445082,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.07986315401,3.77891663259e+14,14.8389419585,5727.74439145,1.44886484132,1.14643784298,1.73814753847,5.06002795564e+14,14.89002555,386.133797151,2.78881893585,1.92584341066,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08018133211,3.77958180365e+14,14.8389847131,5717.37095635,1.44944395551,1.14679691283,1.73758540634,5.05889756296e+14,14.89002555,386.831458409,2.78756087717,1.92514301224,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08049942684,3.7802468004e+14,14.8390274566,5707.00023945,1.45002291795,1.1471558886,1.73702383439,5.05776829677e+14,14.89002555,387.528424415,2.78630407221,1.9244433118,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08081743827,3.78091162303e+14,14.8390701888,5696.63223811,1.45060172879,1.14751477036,1.73646282173,5.05664015525e+14,14.89002555,388.224696293,2.78504851893,1.92374430822,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08113536649,3.7815762717e+14,14.8391129099,5686.26694972,1.45118038818,1.14787355822,1.73590236744,5.05551313657e+14,14.89002555,388.920275168,2.78379421531,1.92304600035,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08145321159,3.78224074658e+14,14.8391556198,5675.90437163,1.45175889626,1.14823225226,1.73534247063,5.05438723892e+14,14.89002555,389.615162162,2.78254115932,1.92234838708,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08177097362,3.78290504783e+14,14.8391983185,5665.54450125,1.45233725317,1.14859085258,1.7347831304,5.05326246048e+14,14.89002555,390.309358393,2.78128934896,1.92165146728,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08208865269,3.78356917562e+14,14.8392410061,5655.18733596,1.45291545907,1.14894935926,1.73422434584,5.05213879946e+14,14.89002555,391.002864978,2.7800387822,1.92095523983,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08240624887,3.78423313012e+14,14.8392836826,5644.83287315,1.4534935141,1.1493077724,1.73366611605,5.05101625403e+14,14.89002555,391.695683029,2.77878945704,1.92025970362,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08272376223,3.7848969115e+14,14.8393263479,5634.48111021,1.4540714184,1.14966609208,1.73310844015,5.04989482241e+14,14.89002555,392.387813659,2.77754137147,1.91956485753,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08304119286,3.78556051993e+14,14.8393690021,5624.13204456,1.45464917213,1.1500243184,1.73255131724,5.04877450279e+14,14.89002555,393.079257977,2.7762945235,1.91887070044,2.770107783282285
./macro-MS1_LAL.csv,0,0,1.08335854084,3.78622395556e+14,14.8394116452,5613.78567358,1.45522677542,1.15038245144,1.73199474642,5.04765529338e+14,14.89002555,393.770017088,2.77504891112,1.91817723124,2.770107783282285
