EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-h4.csv,0,0,1.16299463566,4.82030267417e+14,20.0,2313.25140602,1.43036060107,1.25025459471,1.60413053194,6.83469159373e+14,20.0,328.636453999,2.15623350336,1.78204386763,2.0312320185289536
./macro-h4.csv,0,0,1.1632083679,4.82091985171e+14,20.0,2310.97517778,1.43071696255,1.25050347373,1.60381638194,6.83274527545e+14,20.0,329.108071938,2.15576592535,1.78165128368,2.0312320185289536
./macro-h4.csv,0,0,1.16342206647,4.82153693198e+14,20.0,2308.69930826,1.43107326788,1.25075231353,1.6035024239,6.83080014641e+14,20.0,329.579401707,2.15529863303,1.7812589396,2.0312320185289536
./macro-h4.csv,0,0,1.16363573137,4.82215391504e+14,20.0,2306.42379725,1.43142951708,1.25100111413,1.60318865762,6.82885620544e+14,20.0,330.050443592,2.15483162614,1.78086683517,2.0312320185289536
./macro-h4.csv,0,0,1.16384936263,4.82277080095e+14,20.0,2304.14864454,1.43178571018,1.25124987555,1.60287508291,6.82691345136e+14,20.0,330.521197879,2.15436490438,1.78047497014,2.0312320185289536
./macro-h4.csv,0,0,1.16406296026,4.82338758977e+14,20.0,2301.87384993,1.43214184723,1.25149859782,1.60256169958,6.82497188298e+14,20.0,330.991664855,2.15389846747,1.78008334427,2.0312320185289536
./macro-h4.csv,0,0,1.16427652429,4.82400428156e+14,20.0,2299.5994132,1.43249792824,1.25174728095,1.60224850745,6.82303149913e+14,20.0,331.461844806,2.15343231512,1.77969195733,2.0312320185289536
./macro-h4.csv,0,0,1.16449005474,4.82462087636e+14,20.0,2297.32533414,1.43285395326,1.25199592498,1.60193550631,6.82109229862e+14,20.0,331.931738017,2.15296644706,1.77930080908,2.0312320185289536
./macro-h4.csv,0,0,1.16470355162,4.82523737424e+14,20.0,2295.05161254,1.43320992231,1.25224452993,1.60162269598,6.81915428028e+14,20.0,332.401344772,2.152500863,1.77890989927,2.0312320185289536
./macro-h4.csv,0,0,1.16491701495,4.82585377526e+14,20.0,2292.77824819,1.43356583543,1.25249309582,1.60131007628,6.81721744294e+14,20.0,332.870665358,2.15203556266,1.77851922768,2.0312320185289536
./macro-h4.csv,0,0,1.16513044476,4.82647007946e+14,20.0,2290.50524089,1.43392169266,1.25274162266,1.60099764701,6.81528178541e+14,20.0,333.339700057,2.15157054576,1.77812879407,2.0312320185289536
./macro-h4.csv,0,0,1.16534384106,4.82708628692e+14,20.0,2288.23259043,1.43427749401,1.25299011049,1.60068540798,6.81334730654e+14,20.0,333.808449154,2.15110581201,1.7777385982,2.0312320185289536
./macro-h4.csv,0,0,1.16555720388,4.82770239768e+14,20.0,2285.96029659,1.43463323954,1.25323855933,1.600373359,6.81141400515e+14,20.0,334.276912933,2.15064136114,1.77734863983,2.0312320185289536
./macro-h4.csv,0,0,1.16577053323,4.82831841179e+14,20.0,2283.68835918,1.43498892927,1.2534869692,1.60006149989,6.80948188007e+14,20.0,334.745091676,2.15017719286,1.77695891873,2.0312320185289536
./macro-h4.csv,0,0,1.16598382913,4.82893432933e+14,20.0,2281.41677797,1.43534456322,1.25373534012,1.59974983046,6.80755093014e+14,20.0,335.212985666,2.1497133069,1.77656943467,2.0312320185289536
./macro-h4.csv,0,0,1.16619709161,4.82955015034e+14,20.0,2279.14555276,1.43570014145,1.25398367211,1.59943835052,6.80562115419e+14,20.0,335.680595185,2.14924970297,1.7761801874,2.0312320185289536
./macro-h4.csv,0,0,1.16641032067,4.83016587488e+14,20.0,2276.87468335,1.43605566397,1.25423196521,1.59912705987,6.80369255106e+14,20.0,336.147920515,2.14878638079,1.7757911767,2.0312320185289536
./macro-h4.csv,0,0,1.16662351635,4.830781503e+14,20.0,2274.60416953,1.43641113082,1.25448021942,1.59881595834,6.80176511958e+14,20.0,336.614961939,2.14832334009,1.77540240233,2.0312320185289536
./macro-h4.csv,0,0,1.16683667866,4.83139703477e+14,20.0,2272.33401109,1.43676654203,1.25472843478,1.59850504574,6.7998388586e+14,20.0,337.081719736,2.14786058058,1.77501386406,2.0312320185289536
./macro-h4.csv,0,0,1.16704980762,4.83201247023e+14,20.0,2270.06420782,1.43712189764,1.2549766113,1.59819432188,6.79791376695e+14,20.0,337.548194188,2.14739810199,1.77462556164,2.0312320185289536
./macro-h4.csv,0,0,1.16726290325,4.83262780945e+14,20.0,2267.79475951,1.43747719767,1.25522474901,1.59788378657,6.79598984348e+14,20.0,338.014385575,2.14693590405,1.77423749486,2.0312320185289536
./macro-h4.csv,0,0,1.16747596556,4.83324305248e+14,20.0,2265.52566597,1.43783244217,1.25547284793,1.59757343963,6.79406708704e+14,20.0,338.480294177,2.14647398646,1.77384966347,2.0312320185289536
./macro-h4.csv,0,0,1.16768899459,4.83385819937e+14,20.0,2263.25692697,1.43818763116,1.25572090809,1.59726328086,6.79214549647e+14,20.0,338.945920274,2.14601234896,1.77346206724,2.0312320185289536
./macro-h4.csv,0,0,1.16790199034,4.83447325019e+14,20.0,2260.98854232,1.43854276467,1.2559689295,1.59695331009,6.79022507061e+14,20.0,339.411264145,2.14555099127,1.77307470595,2.0312320185289536
./macro-h4.csv,0,0,1.16811495284,4.83508820499e+14,20.0,2258.72051182,1.43889784274,1.2562169122,1.59664352713,6.78830580832e+14,20.0,339.876326069,2.14508991311,1.77268757935,2.0312320185289536
./macro-h4.csv,0,0,1.16832788211,4.83570306382e+14,20.0,2256.45283524,1.43925286539,1.25646485619,1.59633393179,6.78638770845e+14,20.0,340.341106324,2.14462911421,1.77230068722,2.0312320185289536
./macro-h4.csv,0,0,1.16854077816,4.83631782674e+14,20.0,2254.1855124,1.43960783267,1.25671276151,1.59602452389,6.78447076985e+14,20.0,340.805605188,2.14416859429,1.77191402932,2.0312320185289536
./macro-h4.csv,0,0,1.16875364102,4.83693249381e+14,20.0,2251.91854307,1.4399627446,1.25696062817,1.59571530324,6.78255499137e+14,20.0,341.269822939,2.14370835307,1.77152760543,2.0312320185289536
./macro-h4.csv,0,0,1.1689664707,4.83754706508e+14,20.0,2249.65192707,1.44031760122,1.2572084562,1.59540626966,6.78064037187e+14,20.0,341.733759855,2.14324839028,1.77114141531,2.0312320185289536
./macro-h4.csv,0,0,1.16917926723,4.8381615406e+14,20.0,2247.38566418,1.44067240255,1.25745624563,1.59509742296,6.77872691021e+14,20.0,342.197416213,2.14278870565,1.77075545874,2.0312320185289536
./macro-h4.csv,0,0,1.16939203062,4.83877592044e+14,20.0,2245.11975419,1.44102714864,1.25770399647,1.59478876296,6.77681460525e+14,20.0,342.660792288,2.1423292989,1.77036973547,2.0312320185289536
./macro-h4.csv,0,0,1.16960476089,4.83939020465e+14,20.0,2242.85419691,1.4413818395,1.25795170874,1.59448028948,6.77490345583e+14,20.0,343.123888357,2.14187016976,1.76998424529,2.0312320185289536
./macro-h4.csv,0,0,1.16981745806,4.84000439327e+14,20.0,2240.58899212,1.44173647518,1.25819938247,1.59417200232,6.77301403367e+14,20.0,343.600410973,2.14140851732,1.76959951639,2.0312320185289536
./macro-h4.csv,0,0,1.17003012215,4.84061848638e+14,20.0,2238.32413963,1.4420910557,1.25844701769,1.59386390132,6.77114541188e+14,20.0,344.089743662,2.14094446733,1.76921552477,2.0312320185289536
./macro-h4.csv,0,0,1.17024275319,4.84123248402e+14,20.0,2236.05963923,1.44244558111,1.2586946144,1.59355598628,6.76927791796e+14,20.0,344.578780998,2.14048069744,1.76883176492,2.0312320185289536
./macro-h4.csv,0,0,1.17045535118,4.84184638626e+14,20.0,2233.79549071,1.44280005142,1.25894217264,1.59324825702,6.7674115508e+14,20.0,345.067523271,2.14001720737,1.76844823661,2.0312320185289536
./macro-h4.csv,0,0,1.17066791615,4.84246019313e+14,20.0,2231.53169388,1.44315446667,1.25918969243,1.59294071336,6.76554630929e+14,20.0,345.555970773,2.13955399684,1.76806493961,2.0312320185289536
./macro-h4.csv,0,0,1.17088044811,4.84307390471e+14,20.0,2229.26824852,1.4435088269,1.25943717379,1.59263335512,6.76368219232e+14,20.0,346.044123792,2.13909106557,1.7676818737,2.0312320185289536
./macro-h4.csv,0,0,1.17109294709,4.84368752104e+14,20.0,2227.00515444,1.44386313213,1.25968461674,1.59232618211,6.7618191988e+14,20.0,346.531982618,2.1386284133,1.76729903866,2.0312320185289536
./macro-h4.csv,0,0,1.17130541311,4.84430104218e+14,20.0,2224.74241144,1.4442173824,1.25993202131,1.59201919415,6.7599573276e+14,20.0,347.019547541,2.13816603975,1.76691643424,2.0312320185289536
./macro-h4.csv,0,0,1.17151784618,4.84491446819e+14,20.0,2222.4800193,1.44457157773,1.26017938751,1.59171239106,6.75809657764e+14,20.0,347.506818848,2.13770394464,1.76653406024,2.0312320185289536
