EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-mpa1.csv,0,0,1.16299463566,6.0604988197e+14,12.444994575,1986.69388672,1.18794877367,1.2593550147,1.60413053194,7.2719156955e+14,12.5515994688,297.507217662,1.90652754041,1.79961135772,2.4637141175057953
./macro-mpa1.csv,0,0,1.1632083679,6.06108109494e+14,12.4451523101,1984.62922076,1.18826908511,1.25960697075,1.60381638194,7.2709668755e+14,12.5514709538,297.870575962,1.90597825033,1.79921088504,2.4637141175057953
./macro-mpa1.csv,0,0,1.16342206647,6.06166327842e+14,12.4453100203,1982.56488019,1.18858934607,1.25985888709,1.6035024239,7.27001863525e+14,12.5513425174,298.23371224,1.90542929589,1.79881065707,2.4637141175057953
./macro-mpa1.csv,0,0,1.16363573137,6.06224537019e+14,12.4454677057,1980.5008648,1.18890955657,1.26011076374,1.60318865762,7.26907097418e+14,12.5512141593,298.596626717,1.90488067674,1.79841067355,2.4637141175057953
./macro-mpa1.csv,0,0,1.16384936263,6.0628273703e+14,12.4456253662,1978.43717442,1.18922971666,1.26036260074,1.60287508291,7.26812389171e+14,12.5510858797,298.959319615,1.90433239255,1.79801093424,2.4637141175057953
./macro-mpa1.csv,0,0,1.16406296026,6.06340927881e+14,12.445783002,1976.37380885,1.18954982636,1.2606143981,1.60256169958,7.26717738727e+14,12.5509576783,299.321791154,1.90378444299,1.7976114389,2.4637141175057953
./macro-mpa1.csv,0,0,1.16427652429,6.06399109577e+14,12.4459406129,1974.31076789,1.1898698857,1.26086615585,1.60224850745,7.26623146027e+14,12.5508295552,299.684041554,1.90323682773,1.79721218728,2.4637141175057953
./macro-mpa1.csv,0,0,1.16449005474,6.06457282123e+14,12.4460981991,1972.24805137,1.1901898947,1.261117874,1.60193550631,7.26528611015e+14,12.5507015102,300.046071035,1.90268954644,1.79681317915,2.4637141175057953
./macro-mpa1.csv,0,0,1.16470355162,6.06515445526e+14,12.4462557605,1970.18565908,1.19050985341,1.26136955259,1.60162269598,7.26434133633e+14,12.5505735432,300.407879817,1.90214259877,1.79641441427,2.4637141175057953
./macro-mpa1.csv,0,0,1.16491701495,6.0657359979e+14,12.4464132971,1968.12359084,1.19082976184,1.26162119163,1.60131007628,7.26339713824e+14,12.5504456542,300.769468119,1.90159598441,1.79601589238,2.4637141175057953
./macro-mpa1.csv,0,0,1.16513044476,6.0663174492e+14,12.446570809,1966.06184646,1.19114962002,1.26187279115,1.60099764701,7.2624535153e+14,12.5503178432,301.130836159,1.90104970301,1.79561761325,2.4637141175057953
./macro-mpa1.csv,0,0,1.16534384106,6.06689880922e+14,12.4467282961,1964.00042575,1.19146942799,1.26212435118,1.60068540798,7.26151046695e+14,12.5501901099,301.491984158,1.90050375426,1.79521957664,2.4637141175057953
./macro-mpa1.csv,0,0,1.16555720388,6.06748007801e+14,12.4468857586,1961.93932852,1.19178918578,1.26237587172,1.600373359,7.26056799262e+14,12.5500624544,301.852912332,1.89995813781,1.79482178231,2.4637141175057953
./macro-mpa1.csv,0,0,1.16577053323,6.06806125563e+14,12.4470431963,1959.87855458,1.19210889341,1.26262735282,1.60006149989,7.25965495272e+14,12.55003725,302.245727994,1.89941580857,1.79442569452,2.4637141175057953
./macro-mpa1.csv,0,0,1.16598382913,6.06864234213e+14,12.4472006094,1957.81810375,1.19242855092,1.26287879449,1.59974983046,7.25874956943e+14,12.55003725,302.64620473,1.89887453633,1.79403020798,2.4637141175057953
./macro-mpa1.csv,0,0,1.16619709161,6.06922333756e+14,12.4473579978,1955.75797583,1.19274815833,1.26313019675,1.59943835052,7.2578447366e+14,12.55003725,303.046437983,1.89833359317,1.79363496189,2.4637141175057953
./macro-mpa1.csv,0,0,1.16641032067,6.06980424197e+14,12.4475153615,1953.69817063,1.19306771567,1.26338155963,1.59912705987,7.25694045367e+14,12.55003725,303.446427996,1.89779297877,1.79323995601,2.4637141175057953
./macro-mpa1.csv,0,0,1.16662351635,6.07038505543e+14,12.4476727006,1951.63868798,1.19338722298,1.26363288314,1.59881595834,7.25603672012e+14,12.55003725,303.846175008,1.8972526928,1.7928451901,2.4637141175057953
./macro-mpa1.csv,0,0,1.16683667866,6.07096577797e+14,12.4478300151,1949.57952767,1.19370668027,1.26388416732,1.59850504574,7.25513353538e+14,12.55003725,304.245679262,1.89671273494,1.79245066392,2.4637141175057953
./macro-mpa1.csv,0,0,1.16704980762,6.07154640966e+14,12.4479873049,1947.52068952,1.19402608759,1.26413541219,1.59819432188,7.25423089892e+14,12.55003725,304.644940996,1.89617310486,1.79205637724,2.4637141175057953
./macro-mpa1.csv,0,0,1.16726290325,6.07212695055e+14,12.4481445702,1945.46217335,1.19434544495,1.26438661777,1.59788378657,7.2533288102e+14,12.55003725,305.043960451,1.89563380223,1.79166232982,2.4637141175057953
./macro-mpa1.csv,0,0,1.16747596556,6.07270740068e+14,12.4483018109,1943.40397896,1.19466475239,1.26463778407,1.59757343963,7.25242726867e+14,12.55003725,305.442737867,1.89509482674,1.79126852143,2.4637141175057953
./macro-mpa1.csv,0,0,1.16768899459,6.07328776012e+14,12.448459027,1941.34610617,1.19498400994,1.26488891114,1.59726328086,7.25152627379e+14,12.55003725,305.841273483,1.89455617806,1.79087495182,2.4637141175057953
./macro-mpa1.csv,0,0,1.16790199034,6.07386802892e+14,12.4486162185,1939.2885548,1.19530321763,1.26513999898,1.59695331009,7.25062582503e+14,12.55003725,306.239567537,1.89401785586,1.79048162076,2.4637141175057953
./macro-mpa1.csv,0,0,1.16811495284,6.07444820712e+14,12.4487733855,1937.23132465,1.19562237548,1.26539104761,1.59664352713,7.24972592184e+14,12.55003725,306.63762027,1.89347985983,1.79008852802,2.4637141175057953
./macro-mpa1.csv,0,0,1.16832788211,6.07502829478e+14,12.448930528,1935.17441553,1.19594148352,1.26564205708,1.59633393179,7.24882656368e+14,12.55003725,307.035431918,1.89294218964,1.78969567336,2.4637141175057953
./macro-mpa1.csv,0,0,1.16854077816,6.07560829196e+14,12.449087646,1933.11782727,1.19626054179,1.26589302739,1.59602452389,7.24792775002e+14,12.55003725,307.43300272,1.89240484497,1.78930305654,2.4637141175057953
./macro-mpa1.csv,0,0,1.16875364102,6.07618819871e+14,12.4492447395,1931.06155967,1.19657955031,1.26614395856,1.59571530324,7.24702948032e+14,12.55003725,307.830332914,1.8918678255,1.78891067733,2.4637141175057953
./macro-mpa1.csv,0,0,1.1689664707,6.07676801507e+14,12.4494018084,1929.00561255,1.19689850911,1.26639485063,1.59540626966,7.24613175403e+14,12.55003725,308.227422737,1.89133113091,1.7885185355,2.4637141175057953
./macro-mpa1.csv,0,0,1.16917926723,6.07734774111e+14,12.449558853,1926.94998573,1.19721741823,1.26664570361,1.59509742296,7.24523457064e+14,12.55003725,308.624272426,1.89079476087,1.78812663081,2.4637141175057953
./macro-mpa1.csv,0,0,1.16939203062,6.07792737687e+14,12.449715873,1924.894679,1.19753627768,1.26689651753,1.59478876296,7.2443379296e+14,12.55003725,309.020882218,1.89025871508,1.78773496303,2.4637141175057953
./macro-mpa1.csv,0,0,1.16960476089,6.0785069224e+14,12.4498728687,1922.83969221,1.19785508749,1.26714729241,1.59448028948,7.24344183037e+14,12.55003725,309.417252349,1.8897229932,1.78734353192,2.4637141175057953
./macro-mpa1.csv,0,0,1.16981745806,6.07908637777e+14,12.4500298399,1920.78502514,1.19817384771,1.26739802827,1.59417200232,7.24254627242e+14,12.55003725,309.813383056,1.88918759492,1.78695233726,2.4637141175057953
./macro-mpa1.csv,0,0,1.17003012215,6.07968506912e+14,12.45003775,1918.98220988,1.19849583971,1.26764974208,1.59386390132,7.24165125523e+14,12.55003725,310.209274574,1.88865251992,1.7865613788,2.4637141175057953
