EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-ms1.csv,0,0,1.16299463566,3.89815796636e+14,15.0800246,21690.4886057,1.62820670509,1.24032401438,1.60413053194,4.75414817182e+14,15.0584240988,2359.39491487,2.52159838216,1.76020930687,2.7737703339436677
./macro-ms1.csv,0,0,1.1632083679,3.89867248079e+14,15.0800246,21662.6431151,1.62861075241,1.24056820513,1.60381638194,4.75358632527e+14,15.0584602121,2362.27005474,2.52091772166,1.75982589445,2.7737703339436677
./macro-ms1.csv,0,0,1.16342206647,3.89918691415e+14,15.0800246,21634.8020128,1.62901473605,1.2408123574,1.6035024239,4.75302482201e+14,15.0584963034,2365.14343783,2.52023747707,1.75944271631,2.7737703339436677
./macro-ms1.csv,0,0,1.16363573137,3.89970126647e+14,15.0800246,21606.9652962,1.62941865605,1.24105647121,1.60318865762,4.75246366172e+14,15.0585323726,2368.01506588,2.51955764796,1.75905977222,2.7737703339436677
./macro-ms1.csv,0,0,1.16384936263,3.90021553779e+14,15.0800246,21579.1329629,1.62982251245,1.24130054658,1.60287508291,4.75190284404e+14,15.0585684198,2370.88494064,2.51887823392,1.75867706193,2.7737703339436677
./macro-ms1.csv,0,0,1.16406296026,3.90072972818e+14,15.0800246,21551.3050101,1.63022630529,1.24154458353,1.60256169958,4.75134236865e+14,15.058604445,2373.75306386,2.51819923455,1.75829458522,2.7737703339436677
./macro-ms1.csv,0,0,1.16427652429,3.90124383767e+14,15.0800246,21523.4814354,1.63063003461,1.2417885821,1.60224850745,4.75078223519e+14,15.0586404483,2376.61943727,2.51752064942,1.75791234185,2.7737703339436677
./macro-ms1.csv,0,0,1.16449005474,3.90175786631e+14,15.0800246,21495.6622361,1.63103370043,1.24203254229,1.60193550631,4.75022244333e+14,15.0586764295,2379.48406263,2.51684247813,1.75753033159,2.7737703339436677
./macro-ms1.csv,0,0,1.16470355162,3.90227181415e+14,15.0800246,21467.8474097,1.6314373028,1.24227646413,1.60162269598,4.74966299273e+14,15.0587123889,2382.34694165,2.51616472026,1.75714855421,2.7737703339436677
./macro-ms1.csv,0,0,1.16491701495,3.90278568124e+14,15.0800246,21440.0369537,1.63184084175,1.24252034765,1.60131007628,4.74910388305e+14,15.0587483263,2385.20807609,2.51548737541,1.75676700948,2.7737703339436677
./macro-ms1.csv,0,0,1.16513044476,3.90329946762e+14,15.0800246,21412.2308654,1.63224431733,1.24276419286,1.60099764701,4.74854511395e+14,15.0587842418,2388.06746767,2.51481044316,1.75638569717,2.7737703339436677
./macro-ms1.csv,0,0,1.16534384106,3.90381317335e+14,15.0800246,21384.4291424,1.63264772957,1.2430079998,1.60068540798,4.7479866851e+14,15.0588201355,2390.92511813,2.51413392311,1.75600461705,2.7737703339436677
./macro-ms1.csv,0,0,1.16555720388,3.90432679846e+14,15.0800246,21356.6317821,1.6330510785,1.24325176847,1.600373359,4.74742859615e+14,15.0588560073,2393.78102919,2.51345781484,1.75562376888,2.7737703339436677
./macro-ms1.csv,0,0,1.16577053323,3.90484034301e+14,15.0800246,21328.8387819,1.63345436417,1.24349549891,1.60006149989,4.74687084676e+14,15.0588918573,2396.63520257,2.51278211795,1.75524315244,2.7737703339436677
./macro-ms1.csv,0,0,1.16598382913,3.90535380704e+14,15.0800246,21301.0501393,1.6338575866,1.24373919114,1.59974983046,4.74631343661e+14,15.0589276855,2399.48764001,2.51210683202,1.7548627675,2.7737703339436677
./macro-ms1.csv,0,0,1.16619709161,3.9058671906e+14,15.0800246,21273.2658517,1.63426074584,1.24398284517,1.59943835052,4.74575636535e+14,15.0589634919,2402.33834322,2.51143195666,1.75448261382,2.7737703339436677
./macro-ms1.csv,0,0,1.16641032067,3.90638049374e+14,15.0800246,21245.4859166,1.63466384193,1.24422646104,1.59912705987,4.74519963265e+14,15.0589992765,2405.18731392,2.51075749145,1.75410269118,2.7737703339436677
./macro-ms1.csv,0,0,1.16662351635,3.9068937165e+14,15.0800246,21217.7103315,1.6350668749,1.24447003875,1.59881595834,4.74464323818e+14,15.0590350394,2408.03455383,2.51008343599,1.75372299934,2.7737703339436677
./macro-ms1.csv,0,0,1.16683667866,3.90740685893e+14,15.0800246,21189.9390938,1.63546984478,1.24471357835,1.59850504574,4.74408718159e+14,15.0590707806,2410.88006466,2.50940978987,1.75334353809,2.7737703339436677
./macro-ms1.csv,0,0,1.16704980762,3.90791992108e+14,15.0800246,21162.172201,1.63587275162,1.24495707984,1.59819432188,4.74353146256e+14,15.0591065001,2413.72384812,2.50873655269,1.75296430719,2.7737703339436677
./macro-ms1.csv,0,0,1.16726290325,3.908432903e+14,15.0800246,21134.4096506,1.63627559545,1.24520054325,1.59788378657,4.74297608075e+14,15.0591421979,2416.56590592,2.50806372404,1.75258530642,2.7737703339436677
./macro-ms1.csv,0,0,1.16747596556,3.90894580472e+14,15.0800246,21106.65144,1.63667837631,1.2454439686,1.59757343963,4.74242103582e+14,15.0591778741,2419.40623977,2.50739130352,1.75220653554,2.7737703339436677
./macro-ms1.csv,0,0,1.16768899459,3.90945862631e+14,15.0800246,21078.8975666,1.63708109423,1.24568735592,1.59726328086,4.74186632745e+14,15.0592135286,2422.24485138,2.50671929072,1.75182799433,2.7737703339436677
./macro-ms1.csv,0,0,1.16790199034,3.90997136779e+14,15.0800246,21051.1480281,1.63748374925,1.24593070522,1.59695331009,4.7413119553e+14,15.0592491615,2425.08174244,2.50604768524,1.75144968256,2.7737703339436677
./macro-ms1.csv,0,0,1.16811495284,3.91048402923e+14,15.0800246,21023.4028218,1.63788634141,1.24617401653,1.59664352713,4.74075791904e+14,15.0592847729,2427.91691466,2.50537648669,1.7510716,2.7737703339436677
./macro-ms1.csv,0,0,1.16832788211,3.91099661067e+14,15.0800246,20995.6619452,1.63828887075,1.24641728987,1.59633393179,4.74020421833e+14,15.0593203626,2430.75036974,2.50470569465,1.75069374644,2.7737703339436677
./macro-ms1.csv,0,0,1.16854077816,3.91150911215e+14,15.0800246,20967.9253959,1.63869133729,1.24666052526,1.59602452389,4.73965085285e+14,15.0593559308,2433.58210936,2.50403530872,1.75031612164,2.7737703339436677
