EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-ms1b.csv,0,0,1.16299463566,4.03278824835e+14,14.6057293566,9059.3114776,1.55963802086,1.25106197301,1.60413053194,4.8161172039e+14,14.7511937659,1344.84623147,2.47167997012,1.77677934644,2.7820935261662734
./macro-ms1b.csv,0,0,1.1632083679,4.03313956343e+14,14.6057971001,9050.11407208,1.56004659905,1.25130920735,1.60381638194,4.81558498775e+14,14.7511253482,1346.53587612,2.470988128,1.77639363607,2.7820935261662734
./macro-ms1b.csv,0,0,1.16342206647,4.03349082314e+14,14.605864833,9040.91811603,1.56045511285,1.25155640272,1.6035024239,4.8150530968e+14,14.7510569724,1348.22448836,2.47029670862,1.77600816138,2.7820935261662734
./macro-ms1b.csv,0,0,1.16363573137,4.03384202752e+14,14.6059325552,9031.72360859,1.5608635623,1.25180355915,1.60318865762,4.81452153072e+14,14.7509886383,1349.91206921,2.46960571155,1.77562292213,2.7820935261662734
./macro-ms1b.csv,0,0,1.16384936263,4.0341931766e+14,14.6060002668,9022.53054891,1.56127194744,1.25205067666,1.60287508291,4.81399028919e+14,14.750920346,1351.5986197,2.46891513637,1.7752379181,2.7820935261662734
./macro-ms1b.csv,0,0,1.16406296026,4.03454427041e+14,14.6060679677,9013.33893616,1.5616802683,1.25229775528,1.60256169958,4.81345937189e+14,14.7508520954,1353.28414085,2.46822498266,1.77485314904,2.7820935261662734
./macro-ms1b.csv,0,0,1.16427652429,4.03489530898e+14,14.6061356579,9004.14876947,1.56208852492,1.25254479503,1.60224850745,4.8129287785e+14,14.7507838863,1354.96863368,2.46753525,1.77446861472,2.7820935261662734
./macro-ms1b.csv,0,0,1.16449005474,4.03524629235e+14,14.6062033375,8994.96004801,1.56249671733,1.25279179592,1.60193550631,4.81239850869e+14,14.7507157189,1356.65209923,2.46684593798,1.77408431491,2.7820935261662734
./macro-ms1b.csv,0,0,1.16470355162,4.03559722055e+14,14.6062710065,8985.77277093,1.56290484559,1.25303875799,1.60162269598,4.81186856214e+14,14.7506475931,1358.33453851,2.46615704618,1.77370024937,2.7820935261662734
./macro-ms1b.csv,0,0,1.16491701495,4.03594809361e+14,14.6063386648,8976.58693737,1.56331290972,1.25328568126,1.60131007628,4.81133893853e+14,14.7505795087,1360.01595253,2.46546857418,1.77331641788,2.7820935261662734
./macro-ms1b.csv,0,0,1.16513044476,4.03629891156e+14,14.6064063125,8967.4025465,1.56372090976,1.25353256575,1.60099764701,4.81080963754e+14,14.7505114658,1361.69634233,2.46478052155,1.7729328202,2.7820935261662734
./macro-ms1b.csv,0,0,1.16534384106,4.03664967444e+14,14.6064739496,8958.21959748,1.56412884574,1.25377941148,1.60068540798,4.81028065885e+14,14.7504434644,1363.37570891,2.4640928879,1.7725494561,2.7820935261662734
./macro-ms1b.csv,0,0,1.16555720388,4.03700038228e+14,14.606541576,8949.03808945,1.56453671772,1.25402621847,1.600373359,4.80975200214e+14,14.7503755043,1365.05405329,2.46340567279,1.77216632535,2.7820935261662734
./macro-ms1b.csv,0,0,1.16577053323,4.03735103511e+14,14.6066091919,8939.85802158,1.56494452572,1.25427298676,1.60006149989,4.80922366709e+14,14.7503075856,1366.73137649,2.46271887582,1.77178342771,2.7820935261662734
./macro-ms1b.csv,0,0,1.16598382913,4.03770163296e+14,14.6066767971,8930.67939303,1.56535226977,1.25451971635,1.59974983046,4.80869565338e+14,14.7502397083,1368.40767952,2.46203249656,1.77140076295,2.7820935261662734
./macro-ms1b.csv,0,0,1.16619709161,4.03805217586e+14,14.6067443918,8921.50220295,1.56575994993,1.25476640727,1.59943835052,4.8081679607e+14,14.7501718721,1370.08296338,2.46134653461,1.77101833084,2.7820935261662734
./macro-ms1b.csv,0,0,1.16641032067,4.03840266385e+14,14.6068119759,8912.32645051,1.56616756622,1.25501305955,1.59912705987,4.80764058871e+14,14.7501040772,1371.7572291,2.46066098956,1.77063613116,2.7820935261662734
./macro-ms1b.csv,0,0,1.16662351635,4.03875309696e+14,14.6068795494,8903.15213487,1.56657511869,1.25525967321,1.59881595834,4.80711353712e+14,14.7500363235,1373.43047767,2.45997586098,1.77025416367,2.7820935261662734
./macro-ms1b.csv,0,0,1.16683667866,4.03910347522e+14,14.6069471123,8893.97925519,1.56698260737,1.25550624827,1.59850504574,4.80658680559e+14,14.749968611,1375.10271011,2.45929114847,1.76987242815,2.7820935261662734
./macro-ms1b.csv,0,0,1.16704980762,4.03945379866e+14,14.6070146646,8884.80781063,1.56739003229,1.25575278474,1.59819432188,4.80606039381e+14,14.7499009395,1376.77392742,2.45860685162,1.76949092435,2.7820935261662734
./macro-ms1b.csv,0,0,1.16726290325,4.03980406731e+14,14.6070822064,8875.63780035,1.5677973935,1.25599928267,1.59788378657,4.80553430147e+14,14.7498333091,1378.44413061,2.45792297,1.76910965206,2.7820935261662734
./macro-ms1b.csv,0,0,1.16747596556,4.04015428121e+14,14.6071497376,8866.46922353,1.56820469103,1.25624574206,1.59757343963,4.80500852825e+14,14.7497657197,1380.11332067,2.45723950322,1.76872861104,2.7820935261662734
./macro-ms1b.csv,0,0,1.16768899459,4.04050444039e+14,14.6072172583,8857.30207932,1.56861192491,1.25649216294,1.59726328086,4.80448307384e+14,14.7496981713,1381.78149862,2.45655645087,1.76834780107,2.7820935261662734
./macro-ms1b.csv,0,0,1.16790199034,4.04085454488e+14,14.6072847684,8848.1363669,1.5690190952,1.25673854534,1.59695331009,4.80395793791e+14,14.7496306639,1383.44866545,2.45587381252,1.76796722192,2.7820935261662734
