EoS,branch2,branch1,m2_source,rhoc2,R2,lambda2,I2,Mb2,m1_source,rhoc1,R1,lambda1,I1,Mb1,Mmax
./macro-sly.csv,0,0,1.16299463566,7.60391185115e+14,11.9056264838,1279.47648734,1.07363300957,1.25788567678,1.60413053194,1.0275379646e+15,11.6085770365,140.862329943,1.6291113314,1.80505080203,2.0505144922539955
./macro-sly.csv,0,0,1.1632083679,7.60491691306e+14,11.9055413385,1278.06482556,1.07389760224,1.25813940491,1.60381638194,1.02729377876e+15,11.6089907677,141.078103992,1.62872423785,1.80464115625,2.0505144922539955
./macro-sly.csv,0,0,1.16342206647,7.60592181658e+14,11.9054562066,1276.65338625,1.07416215322,1.25839309304,1.6035024239,1.02704974212e+15,11.6094042462,141.293746197,1.62833738083,1.80423176078,2.0505144922539955
./macro-sly.csv,0,0,1.16363573137,7.6069265618e+14,11.9053710882,1275.24216929,1.07442666251,1.25864674122,1.60318865762,1.02680585453e+15,11.6098174722,141.509256689,1.6279507601,1.80382261536,2.0505144922539955
./macro-sly.csv,0,0,1.16384936263,7.60793114881e+14,11.9052859831,1273.83117453,1.07469113016,1.25890034946,1.60287508291,1.02656707729e+15,11.6101319948,141.732159611,1.62756347804,1.80341444106,2.0505144922539955
./macro-sly.csv,0,0,1.16406296026,7.60893557771e+14,11.9052008914,1272.42040185,1.07495555618,1.25915391778,1.60256169958,1.02633435068e+15,11.6103291525,141.963881293,1.62717536433,1.80300737434,2.0505144922539955
./macro-sly.csv,0,0,1.16427652429,7.60993984859e+14,11.9051158131,1271.00985112,1.0752199406,1.2594074462,1.60224850745,1.02610176606e+15,11.61052619,142.195461604,1.6267874874,1.80260055597,2.0505144922539955
./macro-sly.csv,0,0,1.16449005474,7.61094396153e+14,11.9050307482,1269.59952221,1.07548428345,1.25966093476,1.60193550631,1.02586932329e+15,11.6107231074,142.426900685,1.62639984702,1.80219398569,2.0505144922539955
./macro-sly.csv,0,0,1.16470355162,7.61194791664e+14,11.9049456967,1268.18941499,1.07574858474,1.25991438347,1.60162269598,1.02563702221e+15,11.6109199047,142.658198677,1.62601244295,1.80178766327,2.0505144922539955
./macro-sly.csv,0,0,1.16491701495,7.61295171401e+14,11.9048606585,1266.77952933,1.07601284451,1.26016779236,1.60131007628,1.02540486269e+15,11.611116582,142.889355721,1.62562527496,1.80138158845,2.0505144922539955
./macro-sly.csv,0,0,1.16513044476,7.61395535373e+14,11.9047756337,1265.36986511,1.07627706277,1.26042116145,1.60099764701,1.0251728446e+15,11.6113131396,143.120371955,1.62523834281,1.800975761,2.0505144922539955
./macro-sly.csv,0,0,1.16534384106,7.61495883588e+14,11.9046906222,1263.96042218,1.07654123955,1.26067449077,1.60068540798,1.02494096778e+15,11.6115095775,143.35124752,1.62485164627,1.80057018065,2.0505144922539955
./macro-sly.csv,0,0,1.16555720388,7.61596216057e+14,11.9046056241,1262.55120042,1.07680537488,1.26092778033,1.600373359,1.0247092321e+15,11.6117058958,143.581982555,1.6244651851,1.80016484718,2.0505144922539955
./macro-sly.csv,0,0,1.16577053323,7.61696532788e+14,11.9045206393,1261.14219971,1.07706946877,1.26118103016,1.60006149989,1.02447763742e+15,11.6119020946,143.8125772,1.62407895907,1.79975976033,2.0505144922539955
