rhoc,M,R,Lambda,I,Mb
2.240000000000000000e+14,2.817815414986326039e-01,1.375003125000032078e+01,2.022560237139552133e+06,1.974005703963185032e-01,2.852147100695062165e-01
2.330679396984925000e+14,3.082315416638212735e-01,1.362003190000030628e+01,1.381799523754952475e+06,2.244092944439530779e-01,3.125573388102664274e-01
2.421358793969849688e+14,3.352824527947291799e-01,1.353003235000029747e+01,9.638216080726489890e+05,2.530084158557210361e-01,3.406188260374679588e-01
2.512038190954774688e+14,3.629556520238905737e-01,1.347003265000028982e+01,6.843419767367381137e+05,2.832234965488827361e-01,3.694283522071457049e-01
2.602717587939699375e+14,3.911729022965881319e-01,1.342003290000028493e+01,4.939464323854661779e+05,3.149673637751108646e-01,3.989114675717078673e-01
2.693396984924624375e+14,4.199127077406109576e-01,1.339003305000028021e+01,3.618112871759100817e+05,3.482183249998247465e-01,4.290522411762513477e-01
2.784076381909549375e+14,4.491656554027594339e-01,1.337003315000027825e+01,2.684307895661676885e+05,3.829560219601773619e-01,4.598476630654352859e-01
2.874755778894474375e+14,4.789026645127819615e-01,1.337003315000027825e+01,2.015645736212237971e+05,4.191510871161787666e-01,4.912735625887171276e-01
2.965435175879398750e+14,5.090538360753791292e-01,1.337003315000027825e+01,1.530528048728216963e+05,4.567111417482307978e-01,5.232623742125455113e-01
3.056114572864323750e+14,5.395867115195382979e-01,1.337003315000027825e+01,1.174084578254229418e+05,4.955883306052031312e-01,5.557856395945155459e-01
3.146793969849248750e+14,5.705200165980907068e-01,1.338003310000027923e+01,9.090569097946907277e+04,5.358060346350278502e-01,5.888688898897288526e-01
3.237473366834173750e+14,6.017769002950115187e-01,1.339003305000028021e+01,7.101381891031131090e+04,5.772566182284736280e-01,6.224357318427675700e-01
3.328152763819098750e+14,6.333064361339514337e-01,1.341003295000028395e+01,5.594048000684628641e+04,6.198567698350717636e-01,6.564366518573342413e-01
3.418832160804023750e+14,6.650856778078247933e-01,1.342003290000028493e+01,4.441030440128450573e+04,6.635669355117193025e-01,6.908516860370595980e-01
3.509511557788948750e+14,6.971188288963992008e-01,1.344003280000028688e+01,3.550096934379501181e+04,7.083790110119358996e-01,7.256897685742601523e-01
