rhoc,M,R,Lambda,I,Mb
2.240000000000000000e+14,4.288440591172457683e-01,1.505002475000046580e+01,4.186995488237323007e+05,3.902942353651532859e-01,4.373497379578977773e-01
2.395577889447236250e+14,4.884266077957095664e-01,1.494002530000045503e+01,2.417810571510067093e+05,4.735999909997915536e-01,5.000061960802156813e-01
2.551155778894472812e+14,5.466117769658669356e-01,1.487002565000044640e+01,1.483917799392654561e+05,5.584326725788349988e-01,5.616140303360365182e-01
2.706733668341709062e+14,6.084410653061606000e-01,1.483002585000044249e+01,9.204031974902476941e+04,6.516786728730434852e-01,6.275374607527702819e-01
2.862311557788945625e+14,6.722150190117550661e-01,1.481002595000044053e+01,5.835935442885226803e+04,7.509463184667554136e-01,6.960329508441549518e-01
3.017889447236181875e+14,7.367975506811819120e-01,1.481002595000044053e+01,3.799275493997985177e+04,8.544276843725288062e-01,7.659210987527839132e-01
3.173467336683418125e+14,8.027209424633037216e-01,1.481002595000044053e+01,2.521622027567240366e+04,9.629194121556290398e-01,8.378136716340315315e-01
3.329045226130654375e+14,8.708911503667905452e-01,1.481002595000044053e+01,1.693296985200534255e+04,1.078008476870860211e+00,9.127545715870738485e-01
3.484623115577890625e+14,9.412200856571149021e-01,1.482002590000044151e+01,1.149638758536340538e+04,1.199770386255194721e+00,9.907175591776871126e-01
3.640201005025127500e+14,1.013509883519146282e+00,1.483002585000044249e+01,7.891033892059299433e+03,1.328095623400314285e+00,1.071556954298931164e+00
3.795778894472363750e+14,1.087929052881031922e+00,1.484002580000044347e+01,5.464775072664572690e+03,1.463545538916712241e+00,1.155540358517905375e+00
3.951356783919600000e+14,1.164271954699064082e+00,1.486002570000044543e+01,3.818299574022745674e+03,1.606001376896680544e+00,1.242519519965959551e+00
4.106934673366836250e+14,1.242498402226237308e+00,1.487002565000044640e+01,2.689029376202423009e+03,1.755625416848904052e+00,1.332534652192742364e+00
4.262512562814072500e+14,1.322635856989162306e+00,1.488002560000044738e+01,1.906851135553312133e+03,1.912769348467716179e+00,1.425710490767706728e+00
4.418090452261308750e+14,1.404494687423674337e+00,1.489002555000044836e+01,1.361235015070915324e+03,2.077332997706839102e+00,1.521926768587518852e+00
4.573668341708545000e+14,1.486260163745156238e+00,1.489002555000044836e+01,9.842196600066914698e+02,2.245763082688343903e+00,1.619118255735324752e+00
4.729246231155781250e+14,1.567450532217540049e+00,1.490002550000044934e+01,7.206787304829969116e+02,2.416892603777765824e+00,1.716737407036708962e+00
4.884824120603017500e+14,1.648417792555744388e+00,1.490002550000044934e+01,5.327900234085245756e+02,2.591243325012373866e+00,1.815232426891737028e+00
5.040402010050254375e+14,1.728387766518723279e+00,1.489002555000044836e+01,3.982466338140050652e+02,2.766976445486175162e+00,1.913683051232043075e+00
5.195979899497490625e+14,1.805754980021643030e+00,1.489002555000044836e+01,3.022263144415228453e+02,2.940125226326988805e+00,2.010080090907044426e+00
5.351557788944726875e+14,1.880527435733406749e+00,1.487002565000044640e+01,2.324404739029307052e+02,3.110165019813010190e+00,2.104367315078341516e+00
5.507135678391963125e+14,1.951902861089233943e+00,1.486002570000044543e+01,1.814182608729279877e+02,3.274657830327944996e+00,2.195446528228121252e+00
5.662713567839200000e+14,2.020255817974570434e+00,1.484002580000044347e+01,1.433174759975781001e+02,3.433838831573539530e+00,2.283703806964686223e+00
5.818291457286436250e+14,2.084963711377782580e+00,1.482002590000044151e+01,1.147198378072993421e+02,3.585752048402680803e+00,2.368227974290401328e+00
5.973869346733672500e+14,2.145498719457341164e+00,1.479002605000043680e+01,9.313163026372491515e+01,3.728576429304387929e+00,2.448201148232670210e+00
6.129447236180908750e+14,2.202371888095266961e+00,1.476002620000043386e+01,7.649533659941786823e+01,3.863051171178805365e+00,2.524165579618230293e+00
6.285025125628145000e+14,2.255399590674725285e+00,1.473002635000043092e+01,6.357119862126138088e+01,3.988251810669872999e+00,2.595756417197389254e+00
6.440603015075381250e+14,2.304633843410999194e+00,1.470002650000042799e+01,5.342026277541295087e+01,4.103945295919161573e+00,2.662917606659163106e+00
6.596180904522617500e+14,2.350187523567515591e+00,1.466002670000042230e+01,4.536435126982065924e+01,4.210116892244462505e+00,2.725681450428035113e+00
6.751758793969855000e+14,2.392168564236886841e+00,1.462002690000041838e+01,3.891119392461242654e+01,4.306822193313061931e+00,2.784079053596479003e+00
6.907336683417090000e+14,2.430865975330139594e+00,1.458002710000041446e+01,3.367539272784532756e+01,4.394557006302543201e+00,2.838408422358478678e+00
7.062914572864327500e+14,2.466504205693338392e+00,1.454002730000040877e+01,2.938496232579934997e+01,4.473801827226878913e+00,2.888883580081106128e+00
7.218492462311562500e+14,2.499145979742025681e+00,1.449002755000040388e+01,2.584826223827691649e+01,4.544553936206716216e+00,2.935514862278299386e+00
7.374070351758800000e+14,2.529031656134028694e+00,1.445002775000039996e+01,2.290151958288733880e+01,4.607409511327414720e+00,2.978556497639945011e+00
7.529648241206035000e+14,2.556280031042835077e+00,1.440002800000039329e+01,2.043331197055585591e+01,4.662669044577119948e+00,3.018105296665306803e+00
7.685226130653272500e+14,2.581079710302293773e+00,1.436002820000038938e+01,1.834934209522685578e+01,4.710756320251041629e+00,3.054376094723340263e+00
7.840804020100508750e+14,2.603705945371468822e+00,1.431002845000038448e+01,1.657581773032690009e+01,4.752603120989741470e+00,3.087687495817769801e+00
7.996381909547745000e+14,2.624185928640130783e+00,1.426002870000037781e+01,1.505507170399457095e+01,4.787968112948661314e+00,3.118060370926353020e+00
8.151959798994981250e+14,2.642792896846118289e+00,1.422002890000037389e+01,1.374365475876827425e+01,4.817867713383294337e+00,3.145823039689223943e+00
8.307537688442217500e+14,2.659561156640898538e+00,1.417002915000036900e+01,1.260730254091705582e+01,4.842272902926833211e+00,3.171006538036454714e+00
8.463115577889453750e+14,2.674686421106756473e+00,1.412002940000036233e+01,1.161716368520405673e+01,4.861874628891193595e+00,3.193856351867720100e+00
8.618693467336690000e+14,2.688287064965652284e+00,1.407002965000035744e+01,1.074659591629178124e+01,4.876864500617832832e+00,3.214525335594009103e+00
8.774271356783926250e+14,2.700496625476194179e+00,1.402002990000035076e+01,9.981451147189208228e+00,4.887863840025906903e+00,3.233173488683015240e+00
8.929849246231162500e+14,2.711372609691655722e+00,1.398003010000034685e+01,9.304887032299394178e+00,4.894955157971723203e+00,3.249872535410670782e+00
9.085427135678398750e+14,2.721038781282582253e+00,1.393003035000034195e+01,8.703723231310060982e+00,4.898547364745667210e+00,3.264791177016473256e+00
9.241005025125636250e+14,2.729594334719389170e+00,1.388003060000033528e+01,8.167437677281718322e+00,4.898958536731927715e+00,3.278056687495669141e+00
9.396582914572872500e+14,2.737128228212678316e+00,1.384003080000033137e+01,7.686419866152606417e+00,4.896442448328358843e+00,3.289790120297296561e+00
9.552160804020108750e+14,2.743671980663076049e+00,1.379003105000032647e+01,7.255934240950995928e+00,4.891220535616951359e+00,3.300030344488985357e+00
9.707738693467345000e+14,2.749340390615291785e+00,1.374003130000031980e+01,6.867427581261605241e+00,4.883577874803131991e+00,3.308935369009145866e+00
9.863316582914581250e+14,2.754199344953323525e+00,1.370003150000031589e+01,6.514494591921182298e+00,4.873616924442035092e+00,3.316606618965491027e+00
1.001889447236181750e+15,2.758312643013481225e+00,1.365003175000031099e+01,6.195989497720653993e+00,4.861814127418793596e+00,3.323118416262692332e+00
1.017447236180905375e+15,2.761694630726193367e+00,1.361003195000030530e+01,5.906076764630165954e+00,4.848050119260503443e+00,3.328502472601527540e+00
1.033005025125629000e+15,2.764446776278215889e+00,1.356003220000030041e+01,5.640324906340027589e+00,4.832548475051087422e+00,3.332905919072775891e+00
1.048562814070352625e+15,2.766620693914086715e+00,1.352003240000029471e+01,5.397947676311613208e+00,4.815716639845278202e+00,3.336383613477835741e+00
1.064120603015076250e+15,2.768210050686523260e+00,1.348003260000029080e+01,5.176116287180264841e+00,4.797454388334879916e+00,3.338953731405016168e+00
1.079678391959799875e+15,2.769306196310042711e+00,1.343003285000028590e+01,4.971556824325658042e+00,4.777965875785025851e+00,3.340732845211084268e+00
1.095236180904523500e+15,2.769914735882859969e+00,1.339003305000028021e+01,4.783175308387448865e+00,4.757321563853298407e+00,3.341735964965847572e+00
1.110793969849247125e+15,2.770107783282285130e+00,1.335003325000027630e+01,4.609676775593991138e+00,4.735881135901176542e+00,3.342057334032872529e+00
1.126351758793971000e+15,2.769887645613470006e+00,1.331003345000027238e+01,4.449409237151265017e+00,4.713505498372845715e+00,3.341723105009327899e+00
1.141909547738694500e+15,2.769286754292864305e+00,1.327003365000026847e+01,4.300233726944421520e+00,4.690280530702823469e+00,3.340773739743676085e+00
1.157467336683418000e+15,2.768337349980912521e+00,1.323003385000026277e+01,4.161961308871547693e+00,4.666397544960661392e+00,3.339248413860419706e+00
1.173025125628141750e+15,2.767093249483965955e+00,1.319003405000025886e+01,4.034087176420120713e+00,4.642098906616094922e+00,3.337234740970663527e+00
1.188582914572865500e+15,2.765519392375694441e+00,1.315003425000025494e+01,3.914339354478834743e+00,4.617011027550624647e+00,3.334688484080710502e+00
1.204140703517589000e+15,2.763685777891081941e+00,1.311003445000024925e+01,3.802476470197392544e+00,4.591585373548833893e+00,3.331710724435996696e+00
1.219698492462312500e+15,2.761595824594818449e+00,1.307003465000024534e+01,3.698399977371745084e+00,4.565774683226983655e+00,3.328300694894748002e+00
1.235256281407036250e+15,2.759255002802684320e+00,1.303003485000024142e+01,3.600833717663803668e+00,4.539528730390044231e+00,3.324488487453661989e+00
1.250814070351760000e+15,2.756724823263934088e+00,1.300003500000023671e+01,3.509734114018461248e+00,4.513128396593129033e+00,3.320346538918987456e+00
1.266371859296483500e+15,2.753998509964146635e+00,1.296003520000023279e+01,3.424507166489749288e+00,4.486542740158973253e+00,3.315865646356070950e+00
1.281929648241207000e+15,2.751043717426891799e+00,1.292003540000022888e+01,3.343791736975473050e+00,4.459562629214222085e+00,3.311035044836117436e+00
1.297487437185930750e+15,2.747953731306486791e+00,1.289003555000022594e+01,3.268268687870967248e+00,4.432569973848243805e+00,3.305941694113742724e+00
1.313045226130654500e+15,2.744707466139824525e+00,1.285003575000022025e+01,3.197369901799129721e+00,4.405501981696907876e+00,3.300592209103652586e+00
1.328603015075378000e+15,2.741310320905380848e+00,1.282003590000021731e+01,3.130684551373244862e+00,4.378352414437410189e+00,3.294991095015737947e+00
1.344160804020101750e+15,2.737768035434224423e+00,1.278003610000021339e+01,3.067539239832152820e+00,4.351060735958606429e+00,3.289144476746773016e+00
1.359718592964825250e+15,2.734118213879743742e+00,1.275003625000020868e+01,3.008219665816907806e+00,4.323839018905117015e+00,3.283100428862117059e+00
1.375276381909549000e+15,2.730360837322513667e+00,1.272003640000020575e+01,2.951959832090497393e+00,4.296679390375580887e+00,3.276880016408902030e+00
1.390834170854272500e+15,2.726486919653765995e+00,1.269003655000020281e+01,2.898935781511536192e+00,4.269470394689866666e+00,3.270456081081291710e+00
1.406391959798996250e+15,2.722512942294168958e+00,1.265003675000019889e+01,2.848397324011806564e+00,4.242292793948176488e+00,3.263868591166720012e+00
1.421949748743720000e+15,2.718484871707425032e+00,1.262003690000019418e+01,2.801379713689179596e+00,4.215358061020826774e+00,3.257162992626121412e+00
1.437507537688443500e+15,2.714364012954296967e+00,1.259003705000019124e+01,2.756180886559632004e+00,4.188465653040416292e+00,3.250314225973412796e+00
1.453065326633167250e+15,2.710156343764590581e+00,1.256003720000018831e+01,2.713565294341146128e+00,4.161585073221072406e+00,3.243311622266621619e+00
1.468623115577890750e+15,2.705891903054107761e+00,1.253003735000018537e+01,2.672951887613822741e+00,4.134877210464640740e+00,3.236206490105479450e+00
1.484180904522614500e+15,2.701566563659734577e+00,1.250003750000018243e+01,2.634451607073894586e+00,4.108309573324667063e+00,3.228995507994760317e+00
1.499738693467338000e+15,2.697209377829911325e+00,1.247003765000017772e+01,2.598368599926537570e+00,4.082011051047514272e+00,3.221725055838589480e+00
1.515296482412061750e+15,2.692777789583642889e+00,1.244003780000017478e+01,2.563543362712429996e+00,4.055728872512538885e+00,3.214325642760970769e+00
1.530854271356785250e+15,2.688333429590060497e+00,1.241003795000017185e+01,2.530686767601850740e+00,4.029786278669916122e+00,3.206894505028435205e+00
1.546412060301509000e+15,2.683828114341632265e+00,1.238003810000016891e+01,2.499491136747715281e+00,4.003899286144910086e+00,3.199368287137152489e+00
1.561969849246232500e+15,2.679307947719792971e+00,1.236003820000016518e+01,2.469718678387349264e+00,3.978316068983860365e+00,3.191809436343752360e+00
1.577527638190956250e+15,2.674748949052865754e+00,1.233003835000016224e+01,2.441513525043149002e+00,3.952853173717385982e+00,3.184168898652806945e+00
1.593085427135679750e+15,2.670186362938408831e+00,1.230003850000015930e+01,2.414848632797595762e+00,3.927738792908271659e+00,3.176534582278340846e+00
1.608643216080403500e+15,2.665558219406640728e+00,1.227003865000015637e+01,2.388889440674039299e+00,3.902587508602086253e+00,3.168777911144640136e+00
1.624201005025127250e+15,2.660952243572572318e+00,1.225003875000015441e+01,2.364738511265086718e+00,3.877880528047440656e+00,3.161066964686422676e+00
1.639758793969850750e+15,2.656301132579570012e+00,1.222003890000014970e+01,2.341456782443068096e+00,3.853226326463358387e+00,3.153269382886580097e+00
1.655316582914574500e+15,2.651663309196508056e+00,1.220003900000014774e+01,2.319203865930492992e+00,3.828932498748997215e+00,3.145491609135639521e+00
1.670874371859298000e+15,2.646995290422644143e+00,1.217003915000014480e+01,2.298071440571727297e+00,3.804757964087313038e+00,3.137660385611077185e+00
1.686432160804021750e+15,2.642334996390955038e+00,1.215003925000014284e+01,2.278309467708991676e+00,3.780889686930414495e+00,3.129840699830816142e+00
1.701989949748745250e+15,2.637665248968094733e+00,1.212003940000013991e+01,2.259024007345232121e+00,3.757225393128603042e+00,3.122000009920377739e+00
1.717547738693469000e+15,2.632991541811872338e+00,1.210003950000013617e+01,2.240506770704663531e+00,3.733790227759404168e+00,3.114156853519409740e+00
1.733105527638192500e+15,2.628336313701381766e+00,1.207003965000013324e+01,2.223374974194451958e+00,3.710675003141590267e+00,3.106334152265198600e+00
1.748663316582916250e+15,2.623666053676969145e+00,1.205003975000013128e+01,2.206674497874780982e+00,3.687718088976126740e+00,3.098493521188567801e+00
1.764221105527639750e+15,2.619019448063300004e+00,1.203003985000012932e+01,2.190846955439763821e+00,3.665092612262481619e+00,3.090684148316233948e+00
1.779778894472363500e+15,2.614359852707972109e+00,1.200004000000012638e+01,2.175752552389309535e+00,3.642611987372656124e+00,3.082854785972378497e+00
1.795336683417087000e+15,2.609738678308369142e+00,1.198004010000012265e+01,2.161539937615474471e+00,3.620519152523749895e+00,3.075082369138044225e+00
1.810894472361810750e+15,2.605072287602351988e+00,1.196004020000012069e+01,2.147843575809154082e+00,3.598414448513572950e+00,3.067251301523933549e+00
1.826452261306534500e+15,2.600467280659785274e+00,1.194004030000011873e+01,2.134785072036982090e+00,3.576783137203679797e+00,3.059507627632921167e+00
1.842010050251258000e+15,2.595834073183419299e+00,1.191004045000011580e+01,2.122681498337893657e+00,3.555203549762801174e+00,3.051716758418725473e+00
1.857567839195981750e+15,2.591240880583818740e+00,1.189004055000011384e+01,2.110649505354887268e+00,3.533991478153348798e+00,3.043998015000546786e+00
1.873125628140705250e+15,2.586644085727612286e+00,1.187004065000011188e+01,2.099489909313880798e+00,3.512929256123808130e+00,3.036268812409899986e+00
1.888683417085429000e+15,2.582077041747611990e+00,1.185004075000010815e+01,2.088568396935972071e+00,3.492173671341405772e+00,3.028596063850368836e+00
1.904241206030152500e+15,2.577524518838011147e+00,1.183004085000010619e+01,2.078411634450028522e+00,3.471640778465509225e+00,3.020936398780399657e+00
1.919798994974876250e+15,2.572990367207929729e+00,1.181004095000010423e+01,2.068778479738643483e+00,3.451348919262917647e+00,3.013316252446237797e+00
1.935356783919599750e+15,2.568462075209230200e+00,1.179004105000010227e+01,2.059634066393003060e+00,3.431236045824997305e+00,3.005709915194453075e+00
1.950914572864323500e+15,2.563961371801735112e+00,1.177004115000010032e+01,2.050890947508039908e+00,3.411390924440889094e+00,2.998145939852832509e+00
1.966472361809047000e+15,2.559481957382896411e+00,1.175004125000009836e+01,2.042768291436266814e+00,3.391781321764219648e+00,2.990613942214164656e+00
1.982030150753770750e+15,2.555020922072040790e+00,1.173004135000009640e+01,2.034960994555009783e+00,3.372392773017200529e+00,2.983114807692064829e+00
1.997587939698494250e+15,2.550591614696002374e+00,1.171004145000009267e+01,2.027524819647606780e+00,3.353274393948431076e+00,2.975673390002732788e+00
2.013145728643218000e+15,2.546168811604788473e+00,1.169004155000009071e+01,2.020363307714973189e+00,3.334314868613271532e+00,2.968242106924761092e+00
2.028703517587941750e+15,2.541788899825660586e+00,1.168004160000008973e+01,2.013956689579538661e+00,3.315665668162761648e+00,2.960882704220137995e+00
2.044261306532665250e+15,2.537414005656124516e+00,1.166004170000008777e+01,2.007696779821589672e+00,3.297163333642763483e+00,2.953526034147860635e+00
2.059819095477389000e+15,2.533073580304559869e+00,1.164004180000008581e+01,2.001846026861485939e+00,3.278921036796182964e+00,2.946242627466101105e+00
2.075376884422112500e+15,2.528738065450299555e+00,1.162004190000008386e+01,1.996357246063342306e+00,3.260819638476726734e+00,2.938959529199386189e+00
2.090934673366836250e+15,2.524450525683163971e+00,1.160004200000008190e+01,1.991052675311873799e+00,3.243032951133110409e+00,2.931761477357409884e+00
2.106492462311559750e+15,2.520154864031650455e+00,1.159004205000007914e+01,1.986245291417316317e+00,3.225321829471719859e+00,2.924550731260342928e+00
2.122050251256283500e+15,2.515918470566963272e+00,1.157004215000007719e+01,1.981623265362240094e+00,3.207962699798467821e+00,2.917436926717166923e+00
2.137608040201007000e+15,2.511675411059032914e+00,1.155004225000007523e+01,1.977570193450234548e+00,3.190682185714271313e+00,2.910319631944672913e+00
2.153165829145730750e+15,2.507481547254346577e+00,1.154004230000007425e+01,1.973418719351703210e+00,3.173705957154024926e+00,2.903280827036429645e+00
2.168723618090454250e+15,2.503290750397379139e+00,1.152004240000007229e+01,1.969622862005508512e+00,3.156838453374564146e+00,2.896253467442112761e+00
2.184281407035178000e+15,2.499139439462985113e+00,1.150004250000007033e+01,1.966172708117797097e+00,3.140227835381087740e+00,2.889291021200138143e+00
