rhoc,R,M,Lambda,I,Mb
2.240000000000000000e+14,2.000000000000101963e+01,1.234996341289377048e-01,6.800533759908832610e+07,6.039470392988695313e-02,1.230420854128594227e-01
2.333015075376884375e+14,2.000000000000101963e+01,1.316421379919729684e-01,4.609703453857512772e+07,6.344279822432064009e-02,1.312419948481572118e-01
2.426030150753769062e+14,2.000000000000101963e+01,1.404196303744621455e-01,3.165906326648312062e+07,6.719218510576954739e-02,1.400939274253192313e-01
2.519045226130653438e+14,2.000000000000101963e+01,1.497755658466681794e-01,2.210892441675469279e+07,7.159189110759250907e-02,1.495433568056947216e-01
2.612060301507538125e+14,1.956000220000096945e+01,1.597419795198189996e-01,1.568920585722692311e+07,7.663342311178654442e-02,1.596252216506177102e-01
2.705075376884422500e+14,1.832000840000083031e+01,1.704054349558694337e-01,1.126979425401948765e+07,8.234761675128848823e-02,1.704302009875973412e-01
2.798090452261306875e+14,1.733001335000072274e+01,1.817138636059197343e-01,8.189678554018188268e+06,8.870514542097476807e-02,1.819089206109893164e-01
2.891105527638191250e+14,1.651001745000062826e+01,1.936476901282860597e-01,6.010799638674790040e+06,9.569872421939634721e-02,1.940449199535317082e-01
2.984120603015076250e+14,1.584002080000055557e+01,2.061748068363309372e-01,4.453506958897168748e+06,1.033180215586282785e-01,2.068089426297170519e-01
3.077135678391960625e+14,1.529002355000049285e+01,2.192996852120182305e-01,3.327324991202852689e+06,1.115766293140749016e-01,2.202090345729443566e-01
3.170150753768845000e+14,1.482002590000044151e+01,2.328960824061887258e-01,2.510937214350904804e+06,1.204051530149484739e-01,2.341194841664239468e-01
3.263165829145730000e+14,1.443002785000039800e+01,2.470392182356286048e-01,1.908900923109354451e+06,1.298601064609949396e-01,2.486204776405619155e-01
3.356180904522613750e+14,1.410002950000036037e+01,2.616516834402420888e-01,1.463444832023230381e+06,1.399035721342609673e-01,2.636358820723082030e-01
3.449195979899498750e+14,1.382003090000032941e+01,2.767321960115110557e-01,1.130245564459364396e+06,1.505425487275999230e-01,2.791675098047735615e-01
3.542211055276383125e+14,1.357003215000030139e+01,2.923025572619120105e-01,8.787562878525471315e+05,1.618071689959980075e-01,2.952411163609938716e-01
3.635226130653267500e+14,1.336003320000027728e+01,3.083870918205098288e-01,6.870959134864518419e+05,1.737266381892938194e-01,3.118855087923518288e-01
3.728241206030152500e+14,1.318003410000025788e+01,3.249756981543317491e-01,5.401721929086504970e+05,1.863092082250151771e-01,3.290940628440074400e-01
3.821256281407036250e+14,1.302003490000024044e+01,3.419821299493145950e-01,4.273273206151204649e+05,1.995022425927789333e-01,3.467808985040523595e-01
3.914271356783921250e+14,1.288003560000022496e+01,3.593822885740753370e-01,3.401472913631643169e+05,2.132979205008012913e-01,3.649241676150999369e-01
4.007286432160805625e+14,1.276003620000021144e+01,3.771416312682581706e-01,2.723812747147217742e+05,2.276744872332606695e-01,3.834910601665567631e-01
4.100301507537690000e+14,1.266003670000019987e+01,3.952320271440939448e-01,2.194231914052017964e+05,2.426180176829052515e-01,4.024549909384146362e-01
4.193316582914575000e+14,1.257003715000018929e+01,4.136372480540685403e-01,1.777610716823143302e+05,2.581198379169041268e-01,4.218017856848371161e-01
4.286331658291459375e+14,1.249003755000017968e+01,4.323457021279684120e-01,1.447559683411846636e+05,2.741738394812539004e-01,4.415220306679635276e-01
4.379346733668343750e+14,1.242003790000017283e+01,4.513551658565752023e-01,1.184721847172495618e+05,2.907843151957656413e-01,4.616161967167645708e-01
4.472361809045228125e+14,1.236003820000016518e+01,4.706365656378504458e-01,9.742990776682968135e+04,3.079287674437631295e-01,4.820563294260137854e-01
4.565376884422112500e+14,1.230003850000015930e+01,4.901650337679774871e-01,8.050539896686174325e+04,3.255902449001032428e-01,5.028186647452106417e-01
4.658391959798997500e+14,1.226003870000015539e+01,5.099053067618553037e-01,6.683398073898644361e+04,3.437354560401046366e-01,5.238681077539499853e-01
4.751407035175881875e+14,1.221003895000014872e+01,5.298948435999581985e-01,5.570773694222145423e+04,3.624026694295846562e-01,5.452470563324878228e-01
4.844422110552766250e+14,1.218003910000014578e+01,5.501349759750226998e-01,4.661163243927698932e+04,3.815973872903750119e-01,5.669595626216270556e-01
4.937437185929651250e+14,1.215003925000014284e+01,5.705121982355383370e-01,3.916969802447301481e+04,4.012058374486877632e-01,5.888862866888153746e-01
5.030452261306535000e+14,1.212003940000013991e+01,5.909964440963545451e-01,3.306106000647202018e+04,4.212034289430716671e-01,6.109960990839087280e-01
5.123467336683420000e+14,1.209003955000013519e+01,6.115838620434032036e-01,2.801744633980579238e+04,4.415748362496605406e-01,6.332867818646524816e-01
5.216482412060304375e+14,1.207003965000013324e+01,6.322427832753007015e-01,2.383907532250357326e+04,4.622866744971005359e-01,6.557250591968118991e-01
5.309497487437188750e+14,1.205003975000013128e+01,6.530608038009522165e-01,2.034739178906851521e+04,4.834323032232451522e-01,6.784076811365005177e-01
5.402512562814073125e+14,1.203003985000012932e+01,6.740366484204889375e-01,1.741741090581107710e+04,5.050003681138712786e-01,7.013355681762085680e-01
5.495527638190958125e+14,1.202003990000012834e+01,6.950197280597104621e-01,1.496593380665617042e+04,5.268341242182200679e-01,7.243454136537427202e-01
5.588542713567842500e+14,1.200004000000012638e+01,7.159822949051284358e-01,1.290868611674863860e+04,5.489007738458816510e-01,7.474073045657344538e-01
5.681557788944727500e+14,1.199004005000012540e+01,7.368979835815406831e-01,1.117238395108677832e+04,5.711511915844702525e-01,7.704929842262955297e-01
5.774572864321611250e+14,1.198004010000012265e+01,7.580503221986841789e-01,9.687322710780263151e+03,5.939087689005110304e-01,7.939157777762682056e-01
5.867587939698496250e+14,1.197004015000012167e+01,7.791089844562480993e-01,8.429225396880057815e+03,6.167936755961518358e-01,8.173124210195141792e-01
5.960603015075380000e+14,1.196004020000012069e+01,8.000302927023548172e-01,7.361691505439639513e+03,6.397491078532686615e-01,8.406336817156064845e-01
6.053618090452265000e+14,1.195004025000011971e+01,8.209973745111667220e-01,6.443402908896755434e+03,6.629751423942972233e-01,8.640834476395674590e-01
6.146633165829150000e+14,1.194004030000011873e+01,8.419922937402638530e-01,5.652298126827676242e+03,6.864437623105732467e-01,8.876429322568724078e-01
6.239648241206033750e+14,1.193004035000011775e+01,8.627984806822048824e-01,4.976696438197166572e+03,7.099132102697106594e-01,9.110686348119066968e-01
6.332663316582918750e+14,1.193004035000011775e+01,8.835409205330283511e-01,4.392197928732370201e+03,7.334962845085624128e-01,9.345015862299077547e-01
6.425678391959802500e+14,1.192004040000011678e+01,9.043335903047400315e-01,3.882909194215201751e+03,7.573331283314984619e-01,9.580702835348897661e-01
6.518693467336687500e+14,1.191004045000011580e+01,9.248572573774728189e-01,3.444576403420602674e+03,7.810411404663876178e-01,9.814126776039888700e-01
