rhoc,M,R,Lambda,I,Mb
2.240000000000000000e+14,2.799892484872944509e-01,2.000000000000101963e+01,1.552514702274598181e+06,1.954219025443435231e-01,2.833582618541874987e-01
2.330679396984924688e+14,3.064922674923011847e-01,2.000000000000101963e+01,1.070065325041829143e+06,2.224131087332647250e-01,3.107497918658554403e-01
2.421358793969849375e+14,3.335958096884321655e-01,2.000000000000101963e+01,7.528017309998101555e+05,2.510021618040886859e-01,3.388599529038933689e-01
2.512038190954774062e+14,3.613211498100927788e-01,2.000000000000101963e+01,5.388820772918207804e+05,2.812160686277521693e-01,3.677178330510962323e-01
2.602717587939698750e+14,3.895847518308073187e-01,2.000000000000101963e+01,3.918672962988821091e+05,3.129523098012426119e-01,3.972436354710695006e-01
2.693396984924623438e+14,4.183645300907683495e-01,2.000000000000101963e+01,2.889975150320469402e+05,3.461908973116631372e-01,4.274206877118643111e-01
2.784076381909548125e+14,4.476638866305382436e-01,2.000000000000101963e+01,2.159446821748001094e+05,3.809386945202679620e-01,4.582591460774122494e-01
2.874755778894473125e+14,4.774437005972432257e-01,2.000000000000101963e+01,1.631672608461184718e+05,4.171387729292271307e-01,4.897245566006326878e-01
2.965435175879397500e+14,5.076360509750643679e-01,2.000000000000101963e+01,1.246404641801497928e+05,4.547062697905698281e-01,5.217514850563714779e-01
3.056114572864322500e+14,5.382092437521166506e-01,2.000000000000101963e+01,9.618418900489489897e+04,4.935960123413764555e-01,5.543120557585413666e-01
3.146793969849246875e+14,5.691819500899646389e-01,2.000000000000101963e+01,7.489457609231671086e+04,5.338316444986436204e-01,5.874319056881331935e-01
3.237473366834171875e+14,6.004736636338742217e-01,2.000000000000101963e+01,5.880260121606018220e+04,5.752906365136246647e-01,6.210307558170562459e-01
3.328152763819096250e+14,6.320375708158597616e-01,2.000000000000101963e+01,4.655567778871966584e+04,6.179048052443893990e-01,6.550634674720554607e-01
3.418832160804021250e+14,6.638554996194014901e-01,2.000000000000101963e+01,3.713833521131608722e+04,6.616434931739360037e-01,6.895148786760803006e-01
3.509511557788946250e+14,6.959192241361930042e-01,2.000000000000101963e+01,2.982785137595949709e+04,7.064699633550391988e-01,7.243810329839565076e-01
3.600190954773870625e+14,7.281597804543399333e-01,2.000000000000101963e+01,2.412027194238074298e+04,7.522855864204053278e-01,7.595913742687804282e-01
3.690870351758795000e+14,7.605306833203249184e-01,2.000000000000101963e+01,1.963111768591645159e+04,7.989998215447953189e-01,7.950986394267199886e-01
3.781549748743720000e+14,7.930255028158383901e-01,2.000000000000101963e+01,1.607099521400481353e+04,8.465920091377384660e-01,8.308989747136545923e-01
3.872229145728645000e+14,8.256134281521445573e-01,2.000000000000101963e+01,1.323078547723801785e+04,8.949874568544122777e-01,8.669625770610958071e-01
3.962908542713569375e+14,8.582402995333084927e-01,2.000000000000101963e+01,1.095342517329698239e+04,9.441000079887467145e-01,9.032310703708635868e-01
4.053587939698493750e+14,8.908625847173936574e-01,2.000000000000101963e+01,9.115936290536490560e+03,9.938303036486185738e-01,9.396591934474010088e-01
4.144267336683418750e+14,9.234847260466435559e-01,2.000000000000101963e+01,7.623511075812345553e+03,1.044170695079518651e+00,9.762531725054226506e-01
4.234946733668343750e+14,9.560616512426219904e-01,2.000000000000101963e+01,6.404959880926523510e+03,1.095020433782940561e+00,1.012965141908233502e+00
4.325626130653268125e+14,9.885451246995027308e-01,2.000000000000101963e+01,5.406643803766313795e+03,1.146291222593279091e+00,1.049740608949463194e+00
4.416305527638193125e+14,1.020902711342432045e+00,2.000000000000101963e+01,4.583699220863605660e+03,1.197893825336836526e+00,1.086544091145341451e+00
4.506984924623117500e+14,1.053147875504440334e+00,2.000000000000101963e+01,3.902991820590811130e+03,1.249830441397668190e+00,1.123390820518228583e+00
4.597664321608042500e+14,1.085211712087207570e+00,2.000000000000101963e+01,3.335010487155805095e+03,1.301957562923608647e+00,1.160202355314581713e+00
4.688343718592967500e+14,1.117069194185801306e+00,2.000000000000101963e+01,2.862289069178905265e+03,1.354209818135405863e+00,1.196950814285961728e+00
4.779023115577891875e+14,1.148699279207683333e+00,2.000000000000101963e+01,2.465495601392941353e+03,1.406525571258493645e+00,1.233608467022645483e+00
4.869702512562816250e+14,1.180102093255627205e+00,2.000000000000101963e+01,2.131058599134511496e+03,1.458884322262451461e+00,1.270175253888292888e+00
4.960381909547741250e+14,1.211218938392089495e+00,2.000000000000101963e+01,1.849092193476420107e+03,1.511138875715839491e+00,1.306581912716141325e+00
5.051061306532666250e+14,1.241912378347204138e+00,2.000000000000101963e+01,1.610331360661339659e+03,1.563056933118876168e+00,1.342663194455833819e+00
5.141740703517590625e+14,1.267652980688126485e+00,2.000000000000101963e+01,1.436416919812898414e+03,1.606832952672376358e+00,1.373054970488183146e+00
5.232420100502515625e+14,1.290589992940511799e+00,2.000000000000101963e+01,1.298387402300319081e+03,1.645926563549860333e+00,1.400239336480613606e+00
5.323099497487440000e+14,1.312434580808249374e+00,2.000000000000101963e+01,1.179459802853141809e+03,1.683167723523085968e+00,1.426218432885650200e+00
5.413778894472365000e+14,1.333473029099890184e+00,2.000000000000101963e+01,1.076029167385926712e+03,1.718972050741243818e+00,1.451323616704543351e+00
5.504458291457289375e+14,1.353871891575656017e+00,2.000000000000101963e+01,9.847098184853032308e+02,1.753600572202534957e+00,1.475743835667776782e+00
5.595137688442214375e+14,1.373698728855652584e+00,2.000000000000101963e+01,9.034329562936952698e+02,1.787122669359733518e+00,1.499555366576457605e+00
5.685817085427138750e+14,1.393012969203314855e+00,2.000000000000101963e+01,8.308378752669329970e+02,1.819612127013254366e+00,1.522823202803235132e+00
5.776496482412063750e+14,1.411853401233544414e+00,2.000000000000101963e+01,7.653334138709287799e+02,1.851127035318502756e+00,1.545590345766921114e+00
5.867175879396987500e+14,1.430265180288140314e+00,2.000000000000101963e+01,7.067637245837588580e+02,1.881717812076017626e+00,1.567904775782261062e+00
5.957855276381912500e+14,1.448263679376360358e+00,2.000000000000101963e+01,6.534966065608042527e+02,1.911405699188124974e+00,1.589783668808015582e+00
6.048534673366837500e+14,1.465861871988096254e+00,2.000000000000101963e+01,6.052460747584569845e+02,1.940197321256383223e+00,1.611238730599290792e+00
6.139214070351762500e+14,1.483094365568806028e+00,2.000000000000101963e+01,5.614879108905156500e+02,1.968158685539216357e+00,1.632307528050604750e+00
6.229893467336687500e+14,1.499969384926737925e+00,2.000000000000101963e+01,5.214454748261794066e+02,1.995284214315160787e+00,1.652998208755733112e+00
6.320572864321612500e+14,1.516498524234499934e+00,2.000000000000101963e+01,4.850060253588949308e+02,2.021603115703203279e+00,1.673321036964318775e+00
6.411252261306536250e+14,1.532693861176273264e+00,2.000000000000101963e+01,4.516302033316918596e+02,2.047136906660867339e+00,1.693288310720219458e+00
6.501931658291461250e+14,1.548564280591659958e+00,2.000000000000101963e+01,4.209790345064901089e+02,2.071872896843942158e+00,1.712910721293551264e+00
6.592611055276386250e+14,1.564126036820018939e+00,2.000000000000101963e+01,3.929065192670713031e+02,2.095878211681431846e+00,1.732202779060171061e+00
6.683290452261310000e+14,1.579378251231414954e+00,2.000000000000101963e+01,3.670961668464041168e+02,2.119126733616274461e+00,1.751161807937492210e+00
6.773969849246235000e+14,1.594329598549629967e+00,2.000000000000101963e+01,3.433501132343936320e+02,2.141645882742549301e+00,1.769795931301150205e+00
6.864649246231160000e+14,1.608965916022568443e+00,2.000000000000101963e+01,3.213773297078642486e+02,2.163430445298725413e+00,1.788086503979364306e+00
6.955328643216085000e+14,1.622671543078593848e+00,2.000000000000101963e+01,3.021348951083075463e+02,2.183570301528903634e+00,1.805256624696616408e+00
7.046008040201010000e+14,1.635689886404886328e+00,2.000000000000101963e+01,2.847301171709787013e+02,2.202438460222728267e+00,1.821605990390015029e+00
7.136687437185935000e+14,1.648204072346982185e+00,2.000000000000101963e+01,2.688677848225480602e+02,2.220322422331065138e+00,1.837359393156345666e+00
7.227366834170858750e+14,1.660289455571166917e+00,2.000000000000101963e+01,2.543645098030833651e+02,2.237333397144001701e+00,1.852607870310301053e+00
7.318046231155783750e+14,1.671982097159052660e+00,2.000000000000101963e+01,2.409298135296330088e+02,2.253520920761303170e+00,1.867393569079105031e+00
7.408725628140707500e+14,1.683314246486663945e+00,2.000000000000101963e+01,2.285027494205122025e+02,2.268941406256340887e+00,1.881755671832535448e+00
7.499405025125632500e+14,1.694307821121062929e+00,2.000000000000101963e+01,2.169691894254124236e+02,2.283616247591768733e+00,1.895717634527173567e+00
7.590084422110557500e+14,1.704987733105799652e+00,2.000000000000101963e+01,2.061857581886740149e+02,2.297608481010615211e+00,1.909309874817154196e+00
7.680763819095482500e+14,1.715358143237361910e+00,2.000000000000101963e+01,1.962332329389732877e+02,2.310919468464716964e+00,1.922535307825500972e+00
7.771443216080407500e+14,1.725442528638843509e+00,2.000000000000101963e+01,1.869316362407700467e+02,2.323578251413489504e+00,1.935422211489822741e+00
