rhoc,M,R,Lambda,I,Mb
2.240000000000000000e+14,1.227144338365170895e-01,2.000000000000101963e+01,1.113375604030441195e+08,6.122117252706853890e-02,1.225792621370371538e-01
2.313829145728643125e+14,1.270957362988991146e-01,2.000000000000101963e+01,8.864375131436455250e+07,6.270337023454539138e-02,1.270046562471470186e-01
2.387658291457286562e+14,1.352594158323009721e-01,2.000000000000101963e+01,6.006865091688907892e+07,6.580577448767292725e-02,1.352599996529178505e-01
2.461487437185929688e+14,1.444139343334281123e-01,2.000000000000101963e+01,4.077757801089815795e+07,6.978482096089884401e-02,1.445307537104460471e-01
2.535316582914572812e+14,1.537818133055141034e-01,1.995000025000101473e+01,2.869384999446368217e+07,7.429406143753475300e-02,1.540318081162732056e-01
2.609145728643216250e+14,1.632084941620638163e-01,1.872000640000087657e+01,2.090260019291289896e+07,7.917803262601703918e-02,1.636069180118364108e-01
2.682974874371859375e+14,1.725832517034268654e-01,1.778001110000077034e+01,1.569851859296214581e+07,8.430835962040075793e-02,1.731436201289309751e-01
2.756804020100502500e+14,1.818309502873657335e-01,1.704001480000068725e+01,1.210341070913475379e+07,8.958954422664787420e-02,1.825651060339937848e-01
2.830633165829145625e+14,1.909005036626014451e-01,1.645001775000062239e+01,9.546039793312501162e+06,9.494915205892989762e-02,1.918186733490250817e-01
2.904462311557788750e+14,1.997537459352214106e-01,1.596002020000056909e+01,7.678159314541596919e+06,1.003260800453292245e-01,2.008647546708162979e-01
2.978291457286432500e+14,2.083702899403562236e-01,1.556002220000052283e+01,6.282491382960481569e+06,1.056798993518590912e-01,2.096814838904808576e-01
3.052120603015075000e+14,2.227992653518913180e-01,1.501002495000046189e+01,4.588381793381924741e+06,1.149054668439662003e-01,2.244731043771824308e-01
3.125949748743718750e+14,2.382470670984974670e-01,1.455002725000041153e+01,3.366817952604806982e+06,1.251842365864597462e-01,2.403455246170208282e-01
3.199778894472361875e+14,2.536618433325715238e-01,1.418002910000036998e+01,2.530792402525417507e+06,1.358448594874485660e-01,2.562208285465231161e-01
3.273608040201005000e+14,2.689210446507970254e-01,1.389003055000033626e+01,1.945098048990115756e+06,1.467699315192493859e-01,2.719719447132695755e-01
3.347437185929648125e+14,2.839417140817169782e-01,1.365003175000031099e+01,1.525221382812210824e+06,1.578608499073732852e-01,2.875117970306603765e-01
3.421266331658291250e+14,2.986661523156677323e-01,1.346003270000028884e+01,1.217676016754486132e+06,1.690343624024947533e-01,3.027790006076536145e-01
3.495095477386935000e+14,3.130537603226328791e-01,1.330003350000027140e+01,9.879120255387015641e+05,1.802199303842010047e-01,3.177294368046082451e-01
3.568924623115577500e+14,3.270766274471599289e-01,1.316003420000025592e+01,8.130200139614604414e+05,1.913563928406485648e-01,3.323320342770405000e-01
3.642753768844221250e+14,3.407236525803244986e-01,1.305003475000024338e+01,6.777891801000921987e+05,2.024030104417570974e-01,3.465729826588052620e-01
3.716582914572864375e+14,3.624911738845852938e-01,1.290003550000022692e+01,5.142455563204676146e+05,2.204457503360106319e-01,3.693483216731098251e-01
3.790412060301507500e+14,3.853554224884774837e-01,1.277003615000021242e+01,3.915154807155274902e+05,2.400162858981376157e-01,3.933495493794011977e-01
3.864241206030150625e+14,4.079619776799401354e-01,1.267003665000020085e+01,3.036889892995228874e+05,2.599920266213134878e-01,4.171584488669320412e-01
3.938070351758793750e+14,4.302008605595673552e-01,1.259003705000019124e+01,2.396967104084098537e+05,2.802326280099913802e-01,4.406560534345739799e-01
4.011899497487437500e+14,4.519954829138066454e-01,1.253003735000018537e+01,1.922336120583933371e+05,3.006134058134787845e-01,4.637575847562079856e-01
4.085728643216080000e+14,4.732960785410553761e-01,1.248003760000017870e+01,1.564183643689642195e+05,3.210310751448040012e-01,4.864060339177751491e-01
4.159557788944723750e+14,4.940606327366478534e-01,1.244003780000017478e+01,1.289661362211477535e+05,3.413836268578142596e-01,5.085522399322941478e-01
4.233386934673366875e+14,5.142763463266754043e-01,1.241003795000017185e+01,1.076113471017711709e+05,3.616055829776796404e-01,5.301778422164353799e-01
4.307216080402010000e+14,5.339286705693285784e-01,1.238003810000016891e+01,9.077315944603925163e+04,3.816280394389476305e-01,5.512626911142047836e-01
4.381045226130653125e+14,5.600551175145720428e-01,1.235003825000016420e+01,7.298891010961998836e+04,4.087915161113622187e-01,5.793882240434378161e-01
4.454874371859296250e+14,5.865798321283758332e-01,1.233003835000016224e+01,5.901788682814854837e+04,4.370284236174808989e-01,6.080511434906221702e-01
4.528703517587940000e+14,6.124989205053797958e-01,1.232003840000016126e+01,4.833849792503433127e+04,4.652636251073300477e-01,6.361648375097245234e-01
