rhoc,R,M,Lambda,I,Mb
2.240000000000000000e+14,1.546002270000051304e+01,4.560772732466462642e-01,2.205743543473826721e+06,4.438829993319569067e-01,4.656139361499665452e-01
2.395577889447236250e+14,1.532002340000049756e+01,5.175896691691925788e-01,1.548532748628376285e+06,5.328026749014543872e-01,5.304584052058540777e-01
2.551155778894472500e+14,1.524002380000048795e+01,5.724647966417273359e-01,1.102854747972091660e+06,6.150973961790220379e-01,5.887003786277925643e-01
2.706733668341708438e+14,1.518002410000048030e+01,6.309390068574159960e-01,7.405078260713443160e+05,7.049399051833618035e-01,6.511876189078931176e-01
2.862311557788945000e+14,1.513002435000047541e+01,7.039510977289112903e-01,4.389800895190098090e+05,8.206785400646467998e-01,7.298150548692867723e-01
3.017889447236181250e+14,1.511002445000047345e+01,7.711485840505057920e-01,2.709938139377465704e+05,9.309296466642016377e-01,8.027691643814326428e-01
3.173467336683416875e+14,1.510002450000047247e+01,8.323869439404949500e-01,1.756126758597777807e+05,1.034022085365841059e+00,8.697598939927572159e-01
3.329045226130653125e+14,1.509002455000047149e+01,8.898452763405065857e-01,1.176764631200025906e+05,1.132444584229151507e+00,9.330745449955655246e-01
3.484623115577889375e+14,1.508002460000047051e+01,9.727367688562492676e-01,6.747587681934700231e+04,1.277545394656038891e+00,1.025208657162834713e+00
3.640201005025125625e+14,1.508002460000047051e+01,1.049722016093740162e+00,4.154071717801700288e+04,1.416617068991907091e+00,1.111609495676594728e+00
3.795778894472361875e+14,1.508002460000047051e+01,1.120465782238737162e+00,2.723123783738548082e+04,1.547808593137613986e+00,1.191734469047649458e+00
3.951356783919597500e+14,1.508002460000047051e+01,1.185093729471826896e+00,1.881137178884316018e+04,1.669983646519817233e+00,1.265572400690524013e+00
4.106934673366833750e+14,1.507002465000046953e+01,1.271290912608577628e+00,1.173476912966210693e+04,1.836173524485829045e+00,1.365039485930182872e+00
4.262512562814070000e+14,1.507002465000046953e+01,1.357777371176578818e+00,7.501781612226848665e+03,2.007843846423514211e+00,1.465970979156034026e+00
4.418090452261306250e+14,1.507002465000046953e+01,1.437035088946810424e+00,5.079285061087406575e+03,2.169498484466277244e+00,1.559492174667045816e+00
4.573668341708542500e+14,1.507002465000046953e+01,1.509250760114601020e+00,3.606971597449017736e+03,2.319872774419372785e+00,1.645604605100785101e+00
4.729246231155778750e+14,1.506002470000046856e+01,1.590206900137596469e+00,2.486825725941807377e+03,2.491430417076578863e+00,1.743215853663934389e+00
4.884824120603015000e+14,1.505002475000046580e+01,1.677196475698832234e+00,1.690686304457265578e+03,2.679908431666943258e+00,1.849384510109823410e+00
5.040402010050251250e+14,1.504002480000046482e+01,1.756063195634479657e+00,1.204605585745662211e+03,2.854577684836033580e+00,1.946822501888063606e+00
5.195979899497487500e+14,1.503002485000046384e+01,1.827367350667334467e+00,8.928201894525291209e+02,3.015194825691519309e+00,2.035939107488821787e+00
5.351557788944723750e+14,1.501002495000046189e+01,1.896686281854975453e+00,6.701143362931962884e+02,3.173189237020493270e+00,2.123569234531488270e+00
5.507135678391959375e+14,1.499002505000045993e+01,1.972784600734850402e+00,4.910414775304969339e+02,3.348669664615416153e+00,2.220932422168774956e+00
5.662713567839195000e+14,1.496002520000045699e+01,2.041092950704753495e+00,3.726172853641203346e+02,3.508039262355536536e+00,2.309388844875700286e+00
5.818291457286432500e+14,1.493002535000045405e+01,2.102360612619778024e+00,2.912563244241609368e+02,3.652019604434413313e+00,2.389632140330013144e+00
