rhoc,M,R,Lambda,I,Mb
2.240000000000000000e+14,3.253019262517790056e-01,1.549002255000051598e+01,2.761364573620093055e+06,2.513790189961286337e-01,3.306185821741415287e-01
2.395577889447236250e+14,3.849104339478357506e-01,1.504002480000046482e+01,1.462740756472753594e+06,3.199001826844970475e-01,3.929970305874028180e-01
2.551155778894472500e+14,4.394872622895073522e-01,1.480002600000043778e+01,8.709125714404528262e+05,3.870300881225667289e-01,4.505265754817036616e-01
2.706733668341708438e+14,4.999750370650653530e-01,1.464002680000042034e+01,5.132454958444773220e+05,4.653632929247175087e-01,5.147606592948578141e-01
2.862311557788945000e+14,5.788736099663184254e-01,1.453002735000040779e+01,2.739826811572326114e+05,5.739360015892551736e-01,5.992664151132335304e-01
3.017889447236181250e+14,6.523071023732996965e-01,1.449002755000040388e+01,1.610404617766963202e+05,6.813974815172408883e-01,6.786370412556805842e-01
3.173467336683416875e+14,7.196730899891926603e-01,1.448002760000040290e+01,1.023370864154854207e+05,7.847263520361127398e-01,7.520711963764127317e-01
3.329045226130653125e+14,7.832209759577877239e-01,1.448002760000040290e+01,6.827456251651965431e+04,8.856657496637558857e-01,8.219081458129391393e-01
3.484623115577889375e+14,8.760453002900355779e-01,1.450002750000040486e+01,3.918719231442200544e+04,1.039081370086508027e+00,9.249114372022978481e-01
3.640201005025125625e+14,9.622261139006270669e-01,1.453002735000040779e+01,2.427802249943093921e+04,1.188466368556201802e+00,1.021586030979670934e+00
3.795778894472361875e+14,1.041306808639451686e+00,1.456002720000041251e+01,1.605093376287117644e+04,1.330978563699028561e+00,1.111204248033401010e+00
3.951356783919597500e+14,1.113453551083514848e+00,1.459002705000041544e+01,1.119118184122168168e+04,1.464933515707129708e+00,1.193755426498027239e+00
4.106934673366833750e+14,1.208103664924917275e+00,1.462002690000041838e+01,7.118162965102841554e+03,1.645870050927738193e+00,1.303241748776135411e+00
4.262512562814070000e+14,1.302407358428602224e+00,1.466002670000042230e+01,4.641445757767777650e+03,1.832898975416082932e+00,1.413663507839191702e+00
4.418090452261306250e+14,1.388397987256879018e+00,1.469002655000042701e+01,3.196677466420687779e+03,2.009090303527601762e+00,1.515551762724703488e+00
4.573668341708542500e+14,1.466476516379742634e+00,1.472002640000042994e+01,2.304585545905729305e+03,2.173217158832065454e+00,1.609106247066104611e+00
4.729246231155778750e+14,1.552853403493267281e+00,1.474002630000043190e+01,1.620638454042807325e+03,2.358754051074388070e+00,1.713821777265258861e+00
4.884824120603015000e+14,1.644686004983309857e+00,1.476002620000043386e+01,1.126720053448981844e+03,2.560993943122010563e+00,1.826572969382884493e+00
5.040402010050251250e+14,1.727621497427661357e+00,1.477002615000043484e+01,8.182921595494099165e+02,2.748034883807414008e+00,1.929698166512394675e+00
5.195979899497487500e+14,1.802367312096844421e+00,1.478002610000043582e+01,6.166018119971231499e+02,2.919728491464318232e+00,2.023754221961854505e+00
5.351557788944723750e+14,1.874730915704424739e+00,1.478002610000043582e+01,4.703164294244259054e+02,3.088190693813406273e+00,2.115884412942153237e+00
5.507135678391959375e+14,1.953649659905808411e+00,1.478002610000043582e+01,3.509438003497438103e+02,3.274268213510245218e+00,2.217601667899316453e+00
5.662713567839195000e+14,2.024328963121869496e+00,1.477002615000043484e+01,2.705230229138068694e+02,3.442976490298793379e+00,2.309825070773982691e+00
5.818291457286432500e+14,2.087623983596113231e+00,1.476002620000043386e+01,2.143482905243853622e+02,3.595255895369400712e+00,2.393370503105614056e+00
5.973869346733667500e+14,2.144355478655507241e+00,1.474002630000043190e+01,1.738934522333692314e+02,3.732252839039293502e+00,2.469071771476138544e+00
6.129447236180905000e+14,2.205857972031561864e+00,1.472002640000042994e+01,1.384005862883733755e+02,3.880863042564858034e+00,2.552062036733744765e+00
6.285025125628140000e+14,2.260788550858305879e+00,1.469002655000042701e+01,1.126585101809346980e+02,4.013469230527605625e+00,2.627010574602508086e+00
6.440603015075377500e+14,2.309814054496766467e+00,1.466002670000042230e+01,9.356001980586890454e+01,4.131346047573103419e+00,2.694594042062443240e+00
6.596180904522612500e+14,2.353606195681003488e+00,1.463002685000041936e+01,7.902511102268175591e+01,4.235742327339254487e+00,2.755558422987248957e+00
6.751758793969848750e+14,2.397129067737072017e+00,1.460002700000041642e+01,6.661539776991958206e+01,4.338241473700912287e+00,2.816738925136729854e+00
6.907336683417085000e+14,2.437421243664556592e+00,1.456002720000041251e+01,5.666665163555653351e+01,4.431610373872536535e+00,2.873916736195847310e+00
7.062914572864321250e+14,2.473303343937690801e+00,1.452002740000040681e+01,4.889458265687390082e+01,4.513198205342066949e+00,2.925287399104925967e+00
7.218492462311557500e+14,2.505280097344492418e+00,1.448002760000040290e+01,4.271614765936480751e+01,4.584149525248391477e+00,2.971455835620971264e+00
7.374070351758793750e+14,2.535367294876200717e+00,1.444002780000039898e+01,3.747500892574949205e+01,4.648964946248645091e+00,3.015255834154600745e+00
7.529648241206030000e+14,2.563857351307015531e+00,1.440002800000039329e+01,3.297051221484895933e+01,4.708170219101003973e+00,3.057063640574383179e+00
7.685226130653266250e+14,2.589147548976032276e+00,1.435002825000038840e+01,2.930706183308778989e+01,4.758543237947859161e+00,3.094454491711467803e+00
7.840804020100502500e+14,2.611633721576686273e+00,1.431002845000038448e+01,2.628968508374366309e+01,4.801182596575213957e+00,3.127931949566654435e+00
7.996381909547738750e+14,2.631973813249486316e+00,1.427002865000037879e+01,2.373063054270852490e+01,4.837462912570036799e+00,3.158430911403575347e+00
8.151959798994975000e+14,2.651492874708207381e+00,1.422002890000037389e+01,2.141512186898018655e+01,4.869806699158645280e+00,3.187893857620454519e+00
8.307537688442211250e+14,2.668740454298359932e+00,1.417002915000036900e+01,1.947474163613106768e+01,4.895934701833568603e+00,3.214089251459343544e+00
8.463115577889447500e+14,2.683961780192026580e+00,1.413002935000036331e+01,1.782922074903952847e+01,4.916498067394248217e+00,3.237350463319884408e+00
8.618693467336682500e+14,2.697390474937970239e+00,1.408002960000035841e+01,1.642335794258208637e+01,4.932172739052695043e+00,3.257995574223679913e+00
8.774271356783918750e+14,2.710186635372697328e+00,1.403002985000035174e+01,1.511995579213984264e+01,4.944550367766539445e+00,3.277772271783145008e+00
8.929849246231155000e+14,2.721437917939699691e+00,1.399003005000034783e+01,1.399101734298887934e+01,4.952621825229248209e+00,3.295259772764612016e+00
9.085427135678391250e+14,2.731263169225520926e+00,1.394003030000034293e+01,1.301350168996793855e+01,4.956992035057994350e+00,3.310607830269915564e+00
9.241005025125627500e+14,2.739821492835950778e+00,1.390003050000033724e+01,1.216145894560562368e+01,4.958113824406437331e+00,3.324041067441962038e+00
9.396582914572863750e+14,2.747610726255561353e+00,1.385003075000033235e+01,1.137811087873900107e+01,4.956257255883345536e+00,3.336327537856692338e+00
9.552160804020100000e+14,2.754452656775088659e+00,1.380003100000032745e+01,1.067160372628700671e+01,4.951446004512187749e+00,3.347178951703148719e+00
9.707738693467336250e+14,2.760289625835469884e+00,1.376003120000032176e+01,1.004946828142945670e+01,4.944246029619101535e+00,3.356472360093461393e+00
9.863316582914572500e+14,2.765217490138747625e+00,1.371003145000031687e+01,9.498438927916531327e+00,4.934909023778607740e+00,3.364357710530441636e+00
1.001889447236180875e+15,2.769440080172977048e+00,1.367003165000031295e+01,8.994939759559116510e+00,4.923412167779646076e+00,3.371146129658546098e+00
1.017447236180904500e+15,2.773054321443972015e+00,1.362003190000030628e+01,8.527649835106313247e+00,4.909708549687985979e+00,3.376984856795469003e+00
1.033005025125628125e+15,2.775943280345382291e+00,1.358003210000030236e+01,8.110149832260599823e+00,4.894452899681340341e+00,3.381670773457184254e+00
1.048562814070351750e+15,2.778190278173874983e+00,1.354003230000029845e+01,7.734841177196615014e+00,4.877906240798797199e+00,3.385338418119676174e+00
1.064120603015075375e+15,2.779886385987258901e+00,1.349003255000029178e+01,7.394969767351492251e+00,4.860184779703209834e+00,3.388121242392224897e+00
1.079678391959799000e+15,2.781115971659169350e+00,1.345003275000028786e+01,7.071206725778607094e+00,4.840392514616946862e+00,3.390158511099080840e+00
1.095236180904522500e+15,2.781829510232144642e+00,1.341003295000028395e+01,6.777128162967358094e+00,4.819699382762403950e+00,3.391362595739133567e+00
1.110793969849246125e+15,2.782093526166273367e+00,1.337003315000027825e+01,6.511376402163262078e+00,4.798307609783808658e+00,3.391836319426078550e+00
1.126351758793969750e+15,2.781956031797460760e+00,1.333003335000027434e+01,6.269457353733352001e+00,4.776337879485772930e+00,3.391652569305220855e+00
1.141909547738693500e+15,2.781428191189886601e+00,1.329003355000027042e+01,6.037861700194675940e+00,4.752756079902805020e+00,3.390828840708060010e+00
1.157467336683417000e+15,2.780539375382710787e+00,1.325003375000026473e+01,5.824915858117989842e+00,4.728541444965761009e+00,3.389410953821302641e+00
1.173025125628140500e+15,2.779336621023926757e+00,1.321003395000026082e+01,5.630035317022725749e+00,4.704026409583885737e+00,3.387471764847655997e+00
1.188582914572864250e+15,2.777857303279688050e+00,1.317003415000025690e+01,5.451158640918253084e+00,4.679306747145588474e+00,3.385067301710430243e+00
1.204140703517588000e+15,2.776064118985197560e+00,1.313003435000025121e+01,5.281922181929214588e+00,4.653606212867781089e+00,3.382145527064362334e+00
1.219698492462311500e+15,2.773992806882215945e+00,1.309003455000024729e+01,5.122596269281686432e+00,4.627245929696979232e+00,3.378758188300033716e+00
1.235256281407035000e+15,2.771709026111899732e+00,1.305003475000024338e+01,4.975764812999695863e+00,4.600868031923511126e+00,3.375006069172723944e+00
1.250814070351758750e+15,2.769231333058820521e+00,1.302003490000024044e+01,4.840266565471307736e+00,4.574499488163641381e+00,3.370925224445636026e+00
1.266371859296482500e+15,2.766549738449807005e+00,1.298003510000023475e+01,4.713220783071128572e+00,4.547816963480628694e+00,3.366498580129395624e+00
1.281929648241206000e+15,2.763605309120062525e+00,1.294003530000023083e+01,4.591161690563652087e+00,4.520265208894474362e+00,3.361629009965928283e+00
1.297487437185929500e+15,2.760522576067861777e+00,1.291003545000022790e+01,4.478089922313187365e+00,4.492897065349257701e+00,3.356518958688658127e+00
1.313045226130653250e+15,2.757314546999474203e+00,1.287003565000022220e+01,4.373222593493688137e+00,4.465717268810147189e+00,3.351196367444748248e+00
1.328603015075377000e+15,2.753992216399959503e+00,1.284003580000021927e+01,4.275480378843599993e+00,4.438707489159757102e+00,3.345672330626832114e+00
1.344160804020100500e+15,2.750430167074502386e+00,1.280003600000021535e+01,4.180366669733070140e+00,4.410766086116515439e+00,3.339733237802022803e+00
1.359718592964824000e+15,2.746758333319820888e+00,1.277003615000021242e+01,4.091823050580982724e+00,4.383011135377043566e+00,3.333613251660096921e+00
1.375276381909547750e+15,2.743024902807928544e+00,1.274003630000020770e+01,4.009217721220528219e+00,4.355625980992722468e+00,3.327373261129749515e+00
1.390834170854271250e+15,2.739225641680869128e+00,1.271003645000020477e+01,3.932045806715861236e+00,4.328554963249940712e+00,3.321020759122381261e+00
1.406391959798995000e+15,2.735229556099014747e+00,1.267003665000020085e+01,3.857193882561230858e+00,4.300838308975064805e+00,3.314333302854562291e+00
1.421949748743718500e+15,2.731156021747568996e+00,1.264003680000019791e+01,3.786735955905048190e+00,4.273260009274387983e+00,3.307500327021176911e+00
1.437507537688442250e+15,2.727038201982562526e+00,1.261003695000019320e+01,3.720826880406504333e+00,4.246035192787571688e+00,3.300591169843227313e+00
1.453065326633165750e+15,2.722891806163156403e+00,1.258003710000019026e+01,3.659035623089985201e+00,4.219207696681147368e+00,3.293627147838007918e+00
1.468623115577889500e+15,2.718638885177144804e+00,1.255003725000018733e+01,3.599790288050323639e+00,4.192227136388151365e+00,3.286468203476404337e+00
1.484180904522613000e+15,2.714276706486227209e+00,1.252003740000018439e+01,3.542991175784786506e+00,4.165082915227577232e+00,3.279119873099247240e+00
1.499738693467336500e+15,2.709892869189827636e+00,1.249003755000017968e+01,3.489763818557900521e+00,4.138320388923640181e+00,3.271740595855851641e+00
1.515296482412060250e+15,2.705504650534092281e+00,1.246003770000017674e+01,3.439674751555302112e+00,4.111987566518587656e+00,3.264345356751821914e+00
1.530854271356783750e+15,2.701078760855383010e+00,1.243003785000017380e+01,3.392389388488722624e+00,4.085851661887264896e+00,3.256878930629138580e+00
1.546412060301507500e+15,2.696510336282711418e+00,1.240003800000017087e+01,3.346064578081781704e+00,4.059298946526507024e+00,3.249173306467722622e+00
1.561969849246231000e+15,2.691950739346109067e+00,1.237003815000016793e+01,3.302722679012371820e+00,4.033197899231878658e+00,3.241476425003129602e+00
1.577527638190954750e+15,2.687403433713893453e+00,1.235003825000016420e+01,3.261794504523924942e+00,4.007539188845187894e+00,3.233798136274391943e+00
1.593085427135678250e+15,2.682890485611335585e+00,1.232003840000016126e+01,3.223274380603202705e+00,3.982398451308464260e+00,3.226149068950360466e+00
1.608643216080402000e+15,2.678201360783394325e+00,1.229003855000015832e+01,3.185664896037796900e+00,3.956642448792024869e+00,3.218228016784129508e+00
1.624201005025125500e+15,2.673546696118167532e+00,1.227003865000015637e+01,3.149940389301205457e+00,3.931386879784627641e+00,3.210339292067873274e+00
1.639758793969849250e+15,2.668914321764122022e+00,1.224003880000015343e+01,3.116326823607696639e+00,3.906562935735322206e+00,3.202490709568211802e+00
1.655316582914572750e+15,2.664301624033317939e+00,1.221003895000014872e+01,3.084741813164606938e+00,3.882146285134740360e+00,3.194686493862299859e+00
1.670874371859296500e+15,2.659607669859734180e+00,1.219003905000014676e+01,3.054070946628980820e+00,3.857571398243709648e+00,3.186726551564076804e+00
1.686432160804020000e+15,2.654899910536185459e+00,1.216003920000014382e+01,3.024919294347202303e+00,3.833196002512482714e+00,3.178740247494310722e+00
