rhoc,M,R,Lambda,I,Mb
2.240000000000000000e+14,1.348542970475527791e-01,2.000000000000101963e+01,4.686262854290727526e+07,6.728350064544838527e-02,1.344589569839956533e-01
2.358040201005025000e+14,1.437483024021483091e-01,2.000000000000101963e+01,3.300955321180034056e+07,7.137491956600791609e-02,1.434291016061627622e-01
2.476080402010050312e+14,1.521549332718192260e-01,2.000000000000101963e+01,2.441593749557086825e+07,7.548589379602763105e-02,1.519205780560822783e-01
2.594120603015075312e+14,1.676575213003040354e-01,1.913000435000092381e+01,1.491057764163573459e+07,8.357632033984960240e-02,1.676117625077249151e-01
2.712160804020100625e+14,1.844495273696497017e-01,1.755001225000074427e+01,9.421334323753647506e+06,9.310872811000033000e-02,1.846514291563555732e-01
2.830201005025125625e+14,2.010845718511881652e-01,1.647001765000062434e+01,6.311556640491332859e+06,1.031929460961096001e-01,2.015753700970033813e-01
2.948241206030150625e+14,2.172707936763212944e-01,1.570002150000054009e+01,4.439990719639590941e+06,1.134989877211632359e-01,2.180843300536942642e-01
3.066281407035175625e+14,2.328493950519745226e-01,1.513002435000047541e+01,3.252763495272487402e+06,1.237952451685038757e-01,2.340127065523799899e-01
3.184321608040201250e+14,2.477419781851691594e-01,1.470002650000042799e+01,2.464854577750676777e+06,1.339236843469276683e-01,2.492760964903556753e-01
3.302361809045226250e+14,2.619187105838960417e-01,1.436002820000038938e+01,1.921353261139715556e+06,1.437784211758366404e-01,2.638394794144884870e-01
3.420402010050251250e+14,2.836376124650201724e-01,1.394003030000034293e+01,1.343949493675736943e+06,1.592616680231511428e-01,2.862142597071400951e-01
3.538442211055276250e+14,3.064948729955156437e-01,1.360003200000030432e+01,9.499043438284883741e+05,1.761700992490936868e-01,3.098410523261536653e-01
3.656482412060301250e+14,3.288031241274146366e-01,1.335003325000027630e+01,6.938527680156128481e+05,1.932691993187749535e-01,3.329777868244427341e-01
3.774522613065326250e+14,3.503923282812621554e-01,1.315003425000025494e+01,5.219675089414356044e+05,2.103344636849960314e-01,3.554418676262298127e-01
3.892562814070351250e+14,3.711638916836945135e-01,1.299003505000023573e+01,4.029787594796133344e+05,2.271839940930653612e-01,3.771237596154186633e-01
4.010603015075376875e+14,3.910706183634152233e-01,1.286003570000022123e+01,3.182632322171953856e+05,2.436853169856608159e-01,3.979670059751969635e-01
4.128643216080401875e+14,4.101083465253582694e-01,1.275003625000020868e+01,2.563861128014280112e+05,2.597539549111011481e-01,4.179599349488606896e-01
4.246683417085426875e+14,4.359851947345067535e-01,1.263003685000019694e+01,1.936276562112882093e+05,2.820198372277495369e-01,4.452291093004509537e-01
4.364723618090452500e+14,4.628596479119229667e-01,1.253003735000018537e+01,1.469084830259951996e+05,3.057475876430070794e-01,4.736609272698991679e-01
4.482763819095477500e+14,4.888961106960221792e-01,1.245003775000017576e+01,1.139340618080442218e+05,3.293195881884318221e-01,5.013139145742379066e-01
4.600804020100502500e+14,5.140083454789254880e-01,1.238003810000016891e+01,9.015317431915015914e+04,3.525727097344000249e-01,5.280863930638026726e-01
4.718844221105527500e+14,5.381436167561839401e-01,1.233003835000016224e+01,7.263072821171136457e+04,3.753604023912504584e-01,5.539122425951656936e-01
4.836884422110552500e+14,5.612943482937283735e-01,1.229003855000015832e+01,5.946879229416794988e+04,3.975916989045640837e-01,5.787732701073646790e-01
4.954924623115577500e+14,5.834583655616246700e-01,1.225003875000015441e+01,4.939949668278097670e+04,4.191786499398248433e-01,6.026577517208784318e-01
5.072964824120602500e+14,6.113486021040867024e-01,1.221003895000014872e+01,3.940916276421385555e+04,4.467463701652185648e-01,6.328294821496268652e-01
5.191005025125628125e+14,6.400904107648530683e-01,1.217003915000014480e+01,3.149220928660457503e+04,4.756875950000820641e-01,6.640559123851283996e-01
5.309045226130653125e+14,6.678070461718763617e-01,1.215003925000014284e+01,2.555900977962539764e+04,5.041051902847138999e-01,6.942970918769987287e-01
5.427085427135678125e+14,6.944749394260194553e-01,1.212003940000013991e+01,2.104213212120606840e+04,5.319036890676420715e-01,7.235143036444099396e-01
5.545125628140703125e+14,7.200740253219911624e-01,1.210003950000013617e+01,1.755079948706470168e+04,5.589741478118971374e-01,7.516734310199860714e-01
5.663165829145727500e+14,7.446196477497869504e-01,1.208003960000013421e+01,1.481352932772778877e+04,5.852607602118046204e-01,7.787794593092384199e-01
5.781206030150753750e+14,7.681282536991456134e-01,1.207003965000013324e+01,1.263868019107315922e+04,6.107073070865184361e-01,8.048393790394168246e-01
5.899246231155778750e+14,7.961674575106991725e-01,1.205003975000013128e+01,1.050163495281805081e+04,6.413854796988150975e-01,8.360501863670652956e-01
6.017286432160803750e+14,8.249159929945155678e-01,1.204003980000013030e+01,8.728769528838540282e+03,6.732559685989686349e-01,8.681940510461614302e-01
6.135326633165828750e+14,8.525571122165269689e-01,1.203003985000012932e+01,7.337637858708385465e+03,7.042961811684336215e-01,8.992374922461344733e-01
6.253366834170853750e+14,8.790976499769441732e-01,1.201003995000012736e+01,6.233323151410365426e+03,7.344501139902012143e-01,9.291737098570183040e-01
6.371407035175880000e+14,9.045546192494819948e-01,1.200004000000012638e+01,5.347033922941349374e+03,7.636766234771334982e-01,9.580084005581663842e-01
6.489447236180905000e+14,9.289418809993132964e-01,1.200004000000012638e+01,4.628014391563216122e+03,7.919208458941993101e-01,9.857447338228272349e-01
6.607487437185930000e+14,9.522993036635749586e-01,1.199004005000012540e+01,4.038709358272736154e+03,8.191795212958474792e-01,1.012415812387173153e+00
